variable,r_cluster_-1,tipo_cluster_-1,r_cluster_0,tipo_cluster_0,r_cluster_1,tipo_cluster_1,r_cluster_2,tipo_cluster_2,r_cluster_3,tipo_cluster_3,r_cluster_4,tipo_cluster_4,r_cluster_5,tipo_cluster_5
gT_8_7_av,,,-0.2701575793850158,log,0.16874936493838394,pot,,,,,,,-0.2620009584782326,pot
gT_7_5_av,,,-0.35322800934819565,pot,,,,,,,,,,
gT_5_3_av,,,,,,,,,,,-0.3129649011492943,linear,,
wSv_9_av,0.22736052469654117,pot,,,-0.18818663018198972,log,,,,,,,,
wSsin_9_av,0.1853964337155597,pot,,,,,0.26033525234523225,log,,,,,,
wScos_9_av,0.20454617421701188,exp,,,0.17609880068821532,exp,0.347885006333881,exp,,,0.3643493954099229,exp,,
wSv_7_av,-0.14661131999849789,pot,,,,,-0.20894903182027477,linear,,,,,,
wSsin_7_av,,,,,,,,,,,,,,
wScos_7_av,,,,,-0.15089016352525536,log,,,,,,,,
wSv_5_av,,,,,0.30386977807363574,pot,,,,,,,,
wSsin_5_av,-0.1543481863479899,log,,,,,,,,,-0.3654334724962537,pot,,
wScos_5_av,,,,,,,,,,,,,,
wSv_1_av,0.23337101515849062,log,0.3488744759547735,log,0.1626440088240072,linear,,,0.30987717907804563,exp,0.5787922820798519,exp,0.33772002166635523,linear
wSsin_1_av,,,,,,,,,,,,,,
wScos_1_av,,,,,,,,,,,,,0.25194865772205377,exp
CBH_m_av,,,0.538417431330899,linear,,,,,,,,,,
HigCC_p_av,0.15941169209103118,exp,,,0.14776044892120088,linear,,,,,,,,
LowCC_p_av,,,-0.5880356389707402,pot,0.22388978333880755,linear,,,,,,,,
MidCC_p_av,,,-0.37317330944553034,log,,,,,,,,,,
TotCC_p_av,0.17012633505925856,exp,,,,,,,,,,,,
Cape_av,-0.19056415877175448,pot,-0.4550231861980487,pot,,,-0.23023389674667694,pot,,,,,,
Cin_av,,,,,,,,,,,,,,
BLH_m_av,0.3198119412785564,exp,,,0.18673198146218742,exp,0.3587737807169481,log,0.29132875449051016,linear,,,0.35942736913590945,pot
BLH_m_rt,,,,,-0.19608086499003863,pot,0.399618064446005,linear,,,,,,
LCL_hPa_av,-0.27177287813470447,pot,-0.4121357344061237,linear,-0.26718978185846437,pot,-0.276078796511558,pot,-0.2318775944799751,linear,,,-0.3891924422194588,log
LCL_m_av,0.2692386787646451,exp,0.41652034572982033,log,0.2638825692203198,exp,0.2747731157265047,exp,0.24019950550177172,pot,,,0.38661964889877964,linear
LFC_hPa_av,,,,,0.35935181829135354,exp,,,,,,,,
CCL_hPa_av,,,-0.557377831982098,log,,,,,,,,,,
EL_m_av,,,,,,,,,,,,,,
LiftIdx_av,-0.2756518100871141,pot,,,,,-0.2817729457348962,log,-0.28420282307962375,pot,,,-0.329044180051983,exp
VentIdx_av,0.22634702325290484,log,,,,,,,0.34330723763481574,pot,0.44128146490069337,pot,,
CMLG_av,,,0.55147541025098,exp,0.18771544400923668,exp,,,,,,,,
fuel_model_222.0,,,,,,,,,,,,,,
fuel_model_223.0,,,,,,,,,,,,,,
fuel_model_227.0,,,0.248307433107978,anova,,,,,,,,,,
fuel_model_231.0,,,,,,,,,,,,,,
fuel_model_232.0,,,,,,,,,,,,,,
fuel_model_233.0,0.16790474174229272,anova,,,,,,,,,,,,
fuel_model_234.0,,,0.2587883117358877,anova,,,,,,,,,,
fuel_model_235.0,0.14682519599309476,anova,,,,,,,,,,,,
fuel_model_236.0,,,,,,,,,,,,,,
fuel_model_237.0,,,,,,,0.2840232366750054,anova,,,,,,
fuel_model_4.0,,,,,,,,,,,,,,
fuel_model_98.0,,,,,,,,,,,,,,
landform_21.0,,,,,,,,,,,,,,
landform_22.0,,,,,,,0.24032207491290483,anova,,,,,,
landform_23.0,,,,,,,,,,,,,,
landform_24.0,0.13899085689437538,anova,,,,,,,,,,,,
landform_31.0,,,,,,,,,0.22750364185183722,anova,,,,
landform_32.0,,,,,,,,,,,,,,
landform_34.0,,,,,,,,,,,,,,
landform_41.0,,,,,,,0.24770836441083405,anova,,,,,,
landform_42.0,,,,,,,,,,,,,,
landform_nan,,,,,,,,,,,,,,
land_use_2.0,,,,,,,,,,,,,,
land_use_3.0,,,,,,,0.24967688969169155,anova,,,,,,
land_use_4.0,,,,,,,,,,,,,,
land_use_5.0,,,,,0.17361171282699484,anova,,,,,,,,
land_use_6.0,,,,,0.15194782196184778,anova,,,0.292338098995577,anova,,,,
land_use_7.0,0.1371527859607202,anova,,,,,,,,,,,,
land_use_8.0,,,,,,,,,,,,,,
land_use_nan,,,,,,,,,,,,,,
Haines_av_4.0,,,,,,,,,,,,,,
