fid,fname,year,id,type,sdate,edate,inidoy,enddoy,source,zp_link,burn_perio,area,growth_rat,ros_i,ros_p,spdir_i,spdir_p,int_i,int_p,duration_i,duration_p,qc,elev_av,aspect_av,landform,land_use,land_use_d,1_3y_fir_p,3_8y_fir_p,8_ny_fir_p,fuel_model,f_load_av,sW_1m_av,sW_3m_av,sW_7_av,sW_28_av,sW_100_av,sW_289_av,t_2m_C_av,d_2m_C_av,rh_2m_av,VPD_Pa_av,sP_hPa_av,gp_m2s2_av,dfmc_av,HDW_av,Haines_av,FWI_12h_av,DC_12h_av,FFMC_12h_a,wv10_kh_av,wdir10_av,wv100_k_av,wdir100_av,Recirc,CircVar,t_950_av,t_850_av,t_700_av,t_500_av,t_300_av,rh_950_av,rh_850_av,rh_700_av,rh_500_av,rh_300_av,wv_950_av,wv_850_av,wv_700_av,wv_500_av,wv_300_av,wdi_950_av,wdi_850_av,wdi_700_av,wdi_500_av,wdi_300_av,vwv_950_av,vwv_850_av,vwv_700_av,vwv_500_av,vwv_300_av,gp_950_av,gp_850_av,gp_700_av,gp_500_av,gp_300_av,gT_s_9_av,gT_9_8_av,gT_8_7_av,gT_7_5_av,gT_5_3_av,wSv_9_av,wSdir_9_av,wSv_7_av,wSdir_7_av,wSv_5_av,wSdir_5_av,wSv_1_av,wSdir_1_av,CBH_m_av,HigCC_p_av,LowCC_p_av,MidCC_p_av,TotCC_p_av,Cape_av,Cin_av,BLH_m_av,BLH_m_rt,LCL_hPa_av,LCL_m_av,LFC_hPa_av,CCL_hPa_av,EL_m_av,LiftIdx_av,VentIdx_av,CMLG_av,ros_p_lg1,f_start,fire_rank,SHAP_duration_p,SHAP_8_ny_fir_p,SHAP_3_8y_fir_p,SHAP_f_load_av,SHAP_sW_100_av,SHAP_f_start,SHAP_FWI_12h_av,outliers,PredROS,PredErr,PctErr,AbsPctErr,bad_pred
29,Abrantes_09082017,2017,331,z,2017-08-09 18:00:00,NaT,-1.0,-1.0,fops,1,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3,246.14142717633928,157.0648459305639,21.0,6,Coniferous Forests,0.0,0.0,100.0,4.0,34.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-1,,,,,,,,,,,,,
29,Abrantes_09082017,2017,334,p,2017-08-09 18:00:00,2017-08-09 23:00:00,221.75,221.958333,fops,1,1,501.25,100.25,1199.641053,1199.641053,155.744885,155.744885,14302.974677,14302.974677,5.0,5.0,3,222.9939244765703,184.79777708348573,21.0,4,Eucalyptus Forests,0.0,0.0,97.03815261044177,223.0,21.37132796780684,0.113209173685942,0.164375041088263,0.070368334313775,0.088492222465908,0.124583366064079,0.191446928602719,22.641774172632154,5.951865530244091,34.327443567534885,1840.8329568289917,995.1169327697808,1756.3467611159674,9.205699769104003,35308.82416787044,4.0,59.670234819823285,871.1251884440829,93.4494503589492,18.641459678147253,336.1042640267028,33.00779550791043,342.77234286106,0.005051906291816,0.005422774245048,21.059096752525175,13.479162042372684,6.981467059343003,-8.128010946945874,-38.410637160666724,31.036044132123553,39.24130424907451,4.697755666373413,8.317030392403693,26.609503048007,42.33783658221184,35.719053789721926,39.34887130899487,70.72681443295262,103.5672271680907,1.035146852844377,43.699333163032406,336.0878888242434,314.88435773167237,308.8236605486693,-0.117708880222742,-0.171084805654123,-0.071308645111646,-0.174559016613837,-0.073258615622738,5854.192464882144,15162.09013555474,30925.76577521791,57367.098662852506,94013.14873596358,-0.853629380968319,-8.270810097219476,-4.181152438213608,-5.900119982939643,-8.440929418888306,66.74401404786398,-7.718553973343609,7.147653860791718,-0.011200642933117,9.422788463756651,-0.076363810591588,146.5162856109072,0.857798506747427,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,665.3827154902544,245.37140390302594,776.9439058213103,2.18712888670115,-1.0,603.1260538544769,-1.0,23.05262788941155,21987.9876862416,1.521746171210896,,0.0,1,,,,,,,,False,755.0417193855848,-444.5993336144164,-37.061030255890714,37.061030255890714,True
29,Abrantes_09082017,2017,335,p,2017-08-09 23:00:00,2017-08-10 03:00:00,221.958333,222.125,"fops,sat",1,2,127.5,31.875,388.237868,397.497644,180.162164,184.687209,3779.81918,4429.139637,4.0,4.0,3,167.29579373781675,164.9451485225195,22.0,4,Eucalyptus Forests,0.0,0.0,100.0,223.0,18.165317460317464,0.102546142363545,0.153008959210861,0.070612845122811,0.077137533128259,0.113061612844464,0.17970886230468,19.094732666015624,4.145758056640625,37.21146011352539,1385.880224609375,1000.0041015625,1489.10009765625,9.946862387657166,20445.94140625,4.0,54.16704235118699,893.2564460609003,94.778059291288,14.300063065317051,3.410734481047655,30.635126345445567,13.064020256066726,0.029998854094703,0.029587868542008,19.614434814453126,13.32939453125,6.479718017578125,-8.722906494140625,-37.92203063964844,30.528368377685545,28.89521369934082,2.167975330352783,9.456869506835938,20.19377555847168,46.508071189800795,27.576410645585035,34.73478923228496,65.87957535776216,105.0660236378362,38.460625428735796,51.901707513755696,23.56827069218764,329.82991470951026,321.6416958035017,-0.154164808764282,-0.11008213758142,-0.107085397122239,-0.093320868880826,-0.101622325099157,5990.32001953125,15273.65,31017.891796875,57406.346875,94020.875,5.385403865125781,-6.857892135419431,-4.407646362427418,-5.936492884624204,-8.138915834648312,79.60349884033204,-5.05518159866333,7.13323745727539,-0.329201344400644,9.209802627563477,0.578302980959415,170.6189137168012,-12.640710615187029,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,354.45206787109083,35.974963378905024,799.2803373392042,1.955262559172775,-1.0,580.92594674112,-1.0,25.889088605219264,23552.555084228516,1.600810491301684,1199.641053,300.0,2,,,,,,,,False,233.94620650334167,-163.55143749665837,-41.145259592194805,41.145259592194805,True
29,Abrantes_09082017,2017,336,p,2017-08-09 23:00:00,2017-08-10 03:00:00,221.958333,222.125,"fops,sat",1,2,69.75,17.4375,245.766544,248.620331,252.453677,262.901672,3680.389731,2877.57218,4.0,4.0,3,230.08273381294964,323.3595805404374,22.0,4,Eucalyptus Forests,0.0,0.0,97.84172661870504,4.0,26.62805970149254,0.135391635661109,0.186659929399243,0.090658255398263,0.109269369661792,0.147359708547575,0.213786010742171,18.486529541015624,3.758648681640625,37.6109001159668,1325.9384765625,990.4941040039063,2265.579833984375,10.061207401752473,18611.333203125,4.0,51.33724171954591,847.9919715165342,94.45392028655621,13.57713205877256,5.56026566884492,29.662593376626536,15.319063122676823,0.032094260402905,0.031624319247116,19.249786376953125,13.323516845703125,6.325433349609375,-8.799432373046875,-37.970767211914065,31.74805564880371,28.709963989257812,2.33185031414032,9.361557006835938,20.465838623046874,44.190238900883394,27.926185129385544,35.24345203941607,66.15494737499084,105.32487237555868,37.44459430757615,52.281243108693445,25.0453621739822,330.62993434277047,322.55864869350864,-0.19350639604571,-0.123203680851682,-0.117107942194604,-0.097878094155398,-0.11053641923878,6000.894140625,15279.2501953125,31018.507421875,57390.790625,93993.0421875,6.767352982254943,-6.466421117355578,-4.50314364539034,-5.906128752586956,-8.131169889025966,95.49065399169922,-6.513738083839416,7.783649921417236,-0.340761822462082,9.557560348510743,0.583477620780468,169.00841462096645,-12.584390065373187,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,352.7590678710918,49.75918334960468,794.0664480353004,2.007935126528009,-1.0,580.1749894584573,-1.0,25.723546056502663,22428.065490722656,1.655176058656917,1199.641053,300.0,3,,,,,,,,,,,,,
29,Abrantes_09082017,2017,333,z,2017-08-10 12:00:00,NaT,-1.0,-1.0,sat,2,4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3,222.15248325892858,53.59067804701952,22.0,4,Eucalyptus Forests,0.0,0.0,89.42307692307693,223.0,17.440333333333335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1080.0,-1,,,,,,,,,,,,,
29,Abrantes_09082017,2017,338,p,2017-08-10 12:00:00,2017-08-10 14:30:00,222.5,222.604167,sat,2,4,819.5,327.8,1092.753836,1092.753836,238.370571,238.370571,12211.261107,12211.261107,2.5,2.5,3,211.10384204094103,248.3827815207087,21.0,4,Eucalyptus Forests,0.0,0.0,96.0025583626479,223.0,20.70333333333334,0.105624948102769,0.15833222359369,0.064708616110409,0.079440806273892,0.117239966191004,0.186219670943384,29.123012827643805,2.045430783939825,17.64721873553685,3323.780475852147,1002.4527103587353,1412.7643539541484,6.322425845061886,35868.993312263054,4.0,51.60944490844401,884.5506165359416,95.00814903167252,10.70916810016864,57.1868247767261,13.634893127327496,55.37618632977211,0.011760233671633,0.01171718961902,21.836584940085235,12.955596072475686,7.711337169373754,-7.840263774145401,-37.98094920121878,23.19944885474543,31.906097103784536,4.047502239275682,8.63178587392659,18.419346758071296,14.871882632882151,15.898397149560346,23.491173680293965,32.483219385988036,55.82581762247514,58.576751844447756,58.778113319058434,13.878275248365469,346.600907126952,352.66820534758614,-0.046819657263124,-0.041184068608989,-0.06677477198989,-0.114810534317712,-0.143178291668647,6191.863752398404,15483.807524524089,31359.654369739746,57791.778340971905,94538.31200248352,-16.773679438098927,-9.690449219982932,-3.374588366581674,-6.072765151474424,-8.40136507749674,9.960925190932093,0.174663320145147,4.37128500928103,-0.245497344529299,3.978252541965041,0.93826499888129,29.788740993926996,0.145678509218037,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1552.8354388022744,112.06740912182545,672.741767179427,3.322813966718045,-1.0,518.6998502699648,-1.0,17.904506366215568,7464.756537848313,1.769978527915771,,1080.0,2,,,,,,,,False,580.5836622243714,-512.1701737756273,-46.869675209781455,46.869675209781455,True
29,Abrantes_09082017,2017,332,z,2017-08-10 12:00:00,NaT,-1.0,-1.0,sat,3,4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3,168.99107831790124,269.3215305826571,31.0,4,Eucalyptus Forests,0.0,0.0,100.0,223.0,16.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1080.0,-1,,,,,,,,,,,,,
29,Abrantes_09082017,2017,337,p,2017-08-10 12:00:00,2017-08-10 14:30:00,222.5,222.604167,sat,3,4,366.25,146.5,613.820792,613.820792,276.30494,276.30494,6995.450294,6995.450294,2.5,2.5,3,179.9886827773996,172.07638051396026,21.0,4,Eucalyptus Forests,0.0,0.0,99.31787175989086,223.0,17.88067750677507,0.101157297318177,0.152440575395963,0.062764613827067,0.075988091528413,0.112230937679605,0.17957458496093,29.075592041015625,1.864654541015625,17.470438957214355,3321.6577962239585,1001.5572713216146,1489.10009765625,6.303479592005412,37129.305989583336,4.0,52.59304727037966,894.9027833421957,95.07611798316218,11.123548077834357,56.46452823492649,14.17177578134638,56.23795601558521,0.009573134999171,0.009512369401089,21.846079508463543,13.010538736979166,7.698018391927083,-7.823333740234375,-37.97830708821615,23.199978510538738,31.473161061604817,4.125635147094727,8.493600209554037,18.292426427205402,15.486497200242885,15.987190807014205,23.346297707503144,32.44975896647362,56.665424440105255,59.46122757350577,59.35991104507599,13.81913367589732,346.51335343592217,352.918671549018,-0.05679601391595,-0.055224651838449,-0.065186640228727,-0.117982454979707,-0.156770579548763,6189.4052734375,15482.081380208334,31357.583333333332,57788.063802083336,94532.91145833333,-17.17011576338318,-9.640858743718274,-3.418513403874325,-6.060953253255477,-8.405347669068528,10.59904956817627,0.181805809338888,4.186728398005168,-0.251427958408992,3.90116278330485,0.936639726161957,31.03001398085256,0.158040323602201,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1556.9603352864779,116.60021972655568,670.7764991011644,3.345674696694432,-1.0,516.0876342112516,-1.0,17.888787085723738,7768.302281697591,1.788714361407954,,1080.0,3,,,,,,,,,,,,,
29,Abrantes_09082017,2017,340,p,2017-08-10 14:30:00,2017-08-10 22:00:00,222.604167,222.916667,sat,2,5,1290.25,172.033333,580.177102,584.937417,170.63708,170.472745,5245.719691,5133.28732,7.5,7.5,3,184.75268999612254,152.57513597095388,21.0,4,Eucalyptus Forests,0.0,0.0,98.7111892208553,223.0,18.67046367851623,0.100860889192976,0.154541452044566,0.057269391622938,0.074644246393193,0.112745472273333,0.182943866251757,27.82747896994018,4.653969771882273,25.121243662229627,2935.721821071632,1002.8234546832516,1248.249108389704,7.453498580874232,32829.72108182379,4.0,51.774346856110085,889.345165792715,95.02514246711416,10.685128857788964,349.4754251886143,17.49542056376014,353.5311334660989,0.066588737265084,0.072572360948506,24.35026564274693,15.675167709660046,9.3830427004795,-7.262874953487934,-38.23555535723104,20.91331822072633,28.091324737458027,5.338400761391609,8.432433677311375,29.524148113457144,17.910817492688142,19.165960374261186,15.321934925189774,31.767572023660748,37.91099486726272,18.72897393524306,59.03041239301973,14.764513405719981,335.2270733256161,314.90986909565333,-0.00676294693732,-0.045281919924274,-0.061571872676022,-0.101531485772108,0.003282652217618,6049.525182018529,15434.985168478717,31374.357973286984,57907.55941022925,94678.27029097409,-6.35628945556195,-9.465792295445684,-4.048871775666711,-6.500086326189612,-8.633273988744234,16.467237672102303,-7.92803917189368,1.293061678346748,-1.215208997776664,3.690725827132926,0.384909691687265,75.0464843591595,0.318766164528001,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,924.1675913706363,262.02854575978904,716.4081966321064,2.860403040027508,-1.0,531.0378933726286,-1.0,19.628183394417135,9233.734741471297,1.936235448656871,1092.753836,1230.0,2,,,,,,,,False,232.68394912829044,-352.2534678717094,-60.22071039297345,60.22071039297345,True
29,Abrantes_09082017,2017,339,p,2017-08-10 14:30:00,2017-08-10 22:00:00,222.604167,222.916667,"fops,sat",3,5,257.5,34.333333,230.017538,228.91288,184.38949,186.960236,2531.108963,2518.953326,7.5,7.5,3,140.9418227665706,197.76804815281508,21.0,4,Eucalyptus Forests,0.0,0.0,94.0,223.0,19.00671875,0.100558015059677,0.152149388270131,0.058628481440244,0.075697101838884,0.111885597184297,0.179446411132805,28.07159423828125,3.675506591796875,22.89281165599823,3042.063247680664,999.913330078125,1489.10009765625,7.130477260798216,32002.160888671875,4.0,52.59304727037966,894.9027833421957,95.07611798316218,9.85350308897034,356.54215670053617,16.20272044257299,358.54197017667605,0.082814919644996,0.084517454943111,24.632617950439453,15.717674255371094,9.33462905883789,-7.243991851806641,-38.2393798828125,19.612926959991455,27.602185487747192,5.26461386680603,8.216156423091888,29.500646829605103,16.57897166498084,18.629406898671352,15.097715153923517,31.57159651700815,38.4940010292436,24.315825854600007,56.434968520466555,14.662376594685497,334.4476587553894,315.16483518103513,-0.005011434044972,-0.04495171254129,-0.062867959632007,-0.103846045187762,-0.001812321545462,6046.460632324219,15435.239379882812,31371.523193359375,57902.744140625,94672.7666015625,-7.012639319155521,-9.727498870215346,-4.107377317097212,-6.473807532183562,-8.639603475415653,15.913815796375275,-6.878023840487003,1.500892132520676,-1.003307001432404,3.816690802574158,0.501735844591167,70.69277508784616,0.984799139332498,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,951.0983474731743,325.54788452148506,701.0579510191665,3.026909829757225,-1.0,522.0316587415348,-1.0,19.279011934406313,8537.557184696198,2.07581148228405,613.820792,1230.0,3,,,,,,,,,,,,,
