duration_p,wv100_k_av,8_ny_fir_p,3_8y_fir_p,f_load_av,f_start,FWI_12h_av,row_id,ros_p,SHAP_duration_p,SHAP_wv100_k_av,SHAP_8_ny_fir_p,SHAP_3_8y_fir_p,SHAP_f_load_av,SHAP_f_start,SHAP_FWI_12h_av
5.0,33.00779550791043,97.03815261044177,0.0,21.37132796780684,0.0,59.670234819823285,0,1199.641053,-0.80983216,0.45778713,0.107511714,-0.26042208,0.5509152,0.692643,0.40274766
4.0,30.635126345445567,100.0,0.0,18.165317460317464,300.0,54.16704235118699,1,397.497644,-0.6269485,0.4232287,-0.7709157,-0.28673705,-0.109199755,-0.09846278,0.40990013
2.5,13.634893127327496,96.0025583626479,0.0,20.70333333333334,1080.0,51.60944490844401,2,1092.753836,0.41521558,-0.17641756,0.034051176,-0.2576476,0.3202149,0.056785718,0.21658187
7.5,17.49542056376014,98.7111892208553,0.0,18.67046367851623,1230.0,51.774346856110085,3,584.937417,-1.4158041,0.0758905,-0.21892242,-0.35196826,0.1132073,0.11132803,0.21621601
1.5,39.33348338450253,0.0,0.0,21.97142857142857,0.0,65.62872214888952,4,708.321556,0.54496527,0.43956915,-0.52490646,-0.2841807,0.24045955,0.65421593,0.7278883
3.0,26.567602046653487,6.849315068493151,26.027397260273972,13.358333333333334,0.0,48.182347654167565,5,298.165383,0.018817727,0.092094816,0.34644434,-0.24289626,-0.49046674,0.7200798,0.09433286
4.5,18.67423257921914,63.24324324324324,0.0,13.728913043478263,180.0,47.731246420213594,6,300.228952,-0.7137208,-0.046807792,0.5089464,-0.27042532,-0.669943,-0.028260097,0.12104895
1.0,17.899272653930886,23.655913978494624,0.0,15.912173913043478,450.0,47.731246420213594,7,914.672569,0.99774617,0.17599133,0.6571345,-0.37878782,-0.38766146,-0.1576817,0.19920576
8.5,22.15151559809631,52.816901408450704,11.420698101653398,16.44403341288783,0.0,40.76445511534814,8,599.456399,-1.9476316,0.33678922,0.5888272,0.4435509,-0.29156828,0.7895286,-0.2522385
14.0,11.309270113399021,56.014150943396224,0.0,16.81220611082341,510.0,43.21989297627133,9,384.649786,-2.0725465,-0.008142488,0.50420403,-0.35924798,-0.40832412,-0.15977015,-0.044267967
14.0,26.489347710081688,74.4075183873604,0.490329610460365,17.193295819935695,3450.0,58.14545328664646,10,241.638875,-1.926289,0.1257312,0.26681438,0.66285604,-0.29014924,-0.42538968,0.35647017
1.0,24.466452392199358,0.0,0.0,17.065833333333334,0.0,75.71699720493586,11,524.529661,0.9060687,0.385739,-0.3053279,-0.3709384,-0.6058174,0.70897716,0.60434085
