,mean,median,std,var,q05,q25,q75,q95,min,max,AIQ,skewness,kurtosis,n_zeros,n_negative,normality_p,n_unique,mode,mode_freq,mode_pct,n_missing,pct_missing,corr_ros_p,R2_ros_p,VIF,var_type
1_3y_fir_p,0.36278313681801677,0.0,1.1347152768363626,1.287578759485823,0.0,0.0,0.0,2.612123063455478,0.0,7.603130506001667,0.0,3.803611052658605,15.249767665377316,328.0,0.0,7.94599413475957e-72,,,,,0.0,0.0,-0.09868327786298585,0.009738389329783274,1.0098341581909778,numeric
3_8y_fir_p,1.5479287763199565,0.0,2.7121543549033094,7.355781244820987,0.0,0.0,2.180458915533344,8.28159142547065,0.0,10.0,2.180458915533344,1.6844298520113534,1.6495889795430285,254.0,0.0,1.620758527662076e-25,,,,,0.0,0.0,-0.0078002052387568365,6.08432017667296e-05,1.0000608469038872,numeric
8_ny_fir_p,6.519244263128368,8.05553488612491,3.62426245198585,13.135278320874486,0.0,3.9370068881680624,9.584141501993036,10.0,0.0,10.0,5.647134613824974,-0.832241932135563,-0.8082564492253757,64.0,0.0,3.555265094162969e-15,,,,,0.0,0.0,0.04584340538013597,0.0021016178168474795,1.002106043916265,numeric
BLH_m_av,30.07181945051541,28.366781396465733,10.826887797820033,117.22149938658433,15.56629362164889,22.041005435194794,37.81695790816782,50.52737756437012,5.268162509297263,58.25417154680141,15.775952472973028,0.34562849530751794,-0.44952601402356684,0.0,0.0,0.0018919335701301685,,,,,0.0,0.0,0.18645420306540939,0.03476516984075692,1.0360173180188923,numeric
BLH_m_rt,12.975204759844583,11.405215254702641,7.761891239885863,60.24695561981689,3.495181783043875,7.43796714912967,17.090754347093817,26.779954801727325,1.293928729256942,46.182809883234015,9.652787197964148,1.4848639822214649,3.4120285105960413,0.0,0.0,6.141603751329323e-21,,,,,90.0,23.4375,0.04268853510547015,0.0018223110294509576,1.0018256379095494,numeric
CBH_m_av,69.78400691495195,67.44937991752161,16.80383870969141,282.36899538132343,46.747052696938105,58.052237915056125,85.07685782247493,96.32427493200835,14.447540625545672,101.80545939437629,27.02461990741881,-0.1880744274544773,0.1470650423358042,0.0,0.0,0.5631793333176109,,,,,244.0,63.541666666666664,0.17213135567342142,0.029629203605969906,1.0305338987076633,numeric
CCL_hPa_av,26.48305158294204,25.894581733968167,2.5445348642990826,6.47465767563355,22.727824419743595,24.824870527677774,28.036700677896683,30.626790193207256,21.306723971480558,30.81813533496918,3.2118301502189084,0.4149333762014036,-0.7991232452851524,0.0,0.0,1.89079013821972e-09,,,,,0.0,0.0,-0.04406652464231592,0.001941858594051836,1.0019456367454869,numeric
CMLG_av,1.230059021994942,1.2597771358913281,0.2948042154891606,0.08690952547017942,0.7225510774901961,1.0340251992531806,1.4073796591414156,1.6821936387966823,0.25815841644523,1.825238705236918,0.373354459888235,-0.3839099950255514,0.02928538179039597,0.0,0.0,0.010247208849444835,,,,,0.0,0.0,-0.12223869778649986,0.014942299236539246,1.0151689583513315,numeric
Cape_av,1.4635576211225814,0.0,4.00226693077257,16.018140585155685,0.0,0.0,0.29136116601411277,10.64182610782039,0.0,30.029152502193597,0.29136116601411277,3.807021743363821,16.70800871747574,268.0,0.0,8.687532290779077e-73,,,,,0.0,0.0,-0.08432931769962539,0.007111433823684351,1.0071623685335314,numeric
Cin_av,-12.891451858189672,-12.891451858189672,0.611671743387976,0.374142321659286,-13.280717372038524,-13.107710476994589,-12.675193239384754,-12.502186344340819,-13.323969095799507,-12.458934620579836,0.43251723760983474,,,0.0,2.0,,,,,,382.0,99.47916666666666,1.0,1.0,,numeric
CircVar,0.0806899004041602,0.0433494766714155,0.11734193063045333,0.01376912868408212,0.0027708807130670003,0.01526950237279025,0.09001493807097075,0.3160784036590288,1.577973384e-06,0.791410555754091,0.0747454356981805,3.1123688080785556,11.455623626508626,0.0,0.0,8.644958186089141e-48,,,,,90.0,23.4375,-0.2312483288784605,0.05347578960908063,1.0564970119327375,numeric
