variable,corr_linear,corr_exponencial,corr_logaritmica,corr_potencia,Relation
wSdir_5_av,-0.11102182842688295,0.05595115507377123,-0.04597906809918053,-0.1357053145660779,Relação Potência
sW_289_av,-0.1584406218812976,0.01834138530022334,-0.08264899636894786,-0.2123693092303023,Relação Potência
HDW_av,0.3654078683851813,-0.0075471209682026,-0.026656889324428626,0.3720631252108731,Relação Potência
vwv_500_av,-0.10151759510227945,-0.004262978227124346,-0.03506315008947454,-0.1275812785442436,Relação Potência
CBH_m_av,0.11986595338885492,0.039490514255391386,0.004643872776250991,0.114227130444235,Relação Linear
wSv_9_av,0.03510625873709697,0.04490615957825863,0.06996044837730304,0.23617434655225641,Relação Potência
vwv_700_av,0.004267810689695773,0.051456225549075515,0.02821024759298931,0.07873545932308174,Relação Potência
8_ny_fir_p,-0.0031187150645804636,-0.011714512066533492,-0.018330424757595293,0.01619692872147497,Relação Logarítmica
gT_8_7_av,-0.06104887193509802,-0.057209863555600704,0.028735088988227124,-0.08598058324740772,Relação Potência
LiftIdx_av,-0.1936538320322947,-0.1351017883589529,0.04437274086451191,-0.19471069166031552,Relação Potência
wv_700_av,0.07119851811600492,0.06686548492275668,0.06986564036607643,0.19709633353826747,Relação Potência
rh_950_av,-0.14099627163698064,-0.005871723405092483,0.013683553232574896,-0.2774455612321322,Relação Potência
sW_7_av,0.007290584054876864,0.11297841127819806,-0.05335383064805378,-0.1491367561286073,Relação Potência
FFMC_12h_a,0.05313241167683397,-0.07247593373540716,-0.05451141707711381,0.09821464746138765,Relação Potência
gp_300_av,0.03825284496992238,0.018234545370365954,-0.09998062467912348,-0.05508890465482281,Relação Logarítmica
dfmc_av,-0.2314064259498199,-0.050779778303569716,0.04755881513463306,-0.3415794621344833,Relação Potência
EL_m_av,0.18532100384672018,-0.026322730066471876,-0.05124198195008294,0.16368839754203748,Relação Linear
TotCC_p_av,0.09174236515832114,0.1104687070962131,0.07698190321904834,0.021355206477260077,Relação Exponencial
elev_av,-0.1355586332626794,0.04378651999975508,-0.11221031745461152,-0.14530208957869603,Relação Potência
vwv_300_av,0.0020376103236991604,0.018036868658540015,-0.02350899461522687,-0.061363213747400336,Relação Potência
DC_12h_av,0.1245410276229248,-0.03702928848391007,0.1190346859462674,0.2971891901783729,Relação Potência
landform,0.09264097597358549,-0.02043220362660276,0.016211352198000465,-0.028961296352221774,Relação Linear
wdi_850_av,0.07208092192726354,0.015412147043278372,0.05446517388532853,0.07283039374269915,Relação Potência
wdi_950_av,0.13584304460617433,0.0056735248424374446,0.030577562943010738,0.1127234988358088,Relação Linear
LCL_m_av,0.20855807438001459,0.061280537405251065,-0.07194805220818365,0.2826841169353317,Relação Potência
f_start,-0.1487618448792191,-0.062378953196777234,-0.08174005746623965,-0.25829311885982276,Relação Potência
wv10_kh_av,0.2570112761736072,-0.0769805883779596,0.03250673939332361,0.3525695762659336,Relação Potência
wSdir_1_av,0.04243104186127347,0.030173255002850115,0.012243290866403833,0.05027696173425131,Relação Potência
LFC_hPa_av,0.0811025352097601,-0.04087846978527516,-0.044935145130159324,0.09245133543621614,Relação Potência
rh_2m_av,-0.2253118966491258,-0.039965054229850916,0.040392867773799294,-0.34399468958290186,Relação Potência
t_950_av,0.12280553134400686,0.08535700625245057,-0.07238894769062046,0.09238244900058408,Relação Linear
t_850_av,0.06554134248092264,0.03294905236746894,-0.08157117382323134,-0.016762291261309858,Relação Logarítmica
sW_1m_av,-0.1180693767614147,-0.00013900716956275,-0.06966652660272153,-0.2220869340055254,Relação Potência
ros_p_lg1,0.38284685734161683,0.12079301174366083,0.024143652997623048,0.5961092628111577,Relação Potência
VentIdx_av,0.10855985967679957,-0.08756890005658696,0.06975975948928964,0.1933607140214045,Relação Potência
wv_300_av,-0.010755518178957712,0.053496336223030176,0.01583529949419995,-0.06311007775342996,Relação Potência
enddoy,-0.044907789162752884,-0.03896556739614776,0.09679299413259922,0.25770925210380496,Relação Potência
f_load_av,0.04858259211158794,0.0006613920698248394,-0.049087361406904326,0.016158463173080166,Relação Logarítmica
t_300_av,0.06638089451649769,-0.01803252517406982,-0.0460529362147836,0.052255341141950025,Relação Linear
1_3y_fir_p,-0.12628859343263427,-0.03064463943048549,-0.07998102734307566,-0.0455313169622721,Relação Linear
gp_m2s2_av,-0.07239858141594571,0.07930131592069496,-0.09041108060507434,-0.16189134768056093,Relação Potência
Recirc,-0.2194843317435928,0.02240869497491785,-0.07640462178771089,-0.30260220737502225,Relação Potência
duration_p,-0.42879688052011283,0.0011149646389380097,-0.06414638241943202,-0.42809437704069936,Relação Linear
wdi_500_av,0.039478983023693175,0.0789949560784103,-0.009849724244692897,0.005114278168926412,Relação Exponencial
