,n,n_total,n_missing,pct_missing,pct_complete,mean,median,std,var,sem,cv,min,max,range,q01,q05,q10,q25,q75,q90,q95,q99,AIQ,qcd,skewness,kurtosis,n_zeros,pct_zeros,n_negative,pct_negative,n_positive,pct_positive,n_outliers,pct_outliers,normality_stat,normality_p,shapiro_stat,shapiro_p,n_unique,pct_unique,mode,mode_freq,mode_pct,mode2,mode2_freq,mode2_pct,entropy,max_entropy,rel_entropy,corr_ros_p,R2_ros_p,corr_n,corr_p_value,anova_p_value,VIF,corr_log_ros_p,R2_log_ros_p,corr_log_n,corr_log_ros_p_value,anova_log_ros_p_value,VIF_log_ros_p,var_type
1_3y_fir_p,765.0,765.0,0.0,0.0,100.0,0.38207530190038747,0.0,0.9337511651623892,0.8718912384421195,0.033759844624563454,244.3893024537429,0.0,4.499654258099009,4.499654258099009,0.0,0.0,0.0,0.0,0.0,1.7166493506981526,2.843777919128003,4.038955732489312,0.0,,2.659998492100041,6.275156768316338,592.0,77.38562091503269,0.0,0.0,173.0,22.61437908496732,173.0,22.61437908496732,423.47926225681255,1.1031805612896783e-92,0.47484294445755615,1.6548791125982765e-42,,,,,,,,,,,,-0.11212396227665523,0.012571782916616805,765.0,0.0018968591426171348,,1.0127318449069145,-0.11139256012097343,0.01240830245030468,765.0,0.002031860221583193,,1.0125642028796829,numeric
3_8y_fir_p,765.0,765.0,0.0,0.0,100.0,1.1591929144811084,0.0,1.6486871072816607,2.71816917771677,0.059608408163721094,142.22715534969134,0.0,4.61512051684126,4.61512051684126,0.0,0.0,0.0,0.0,2.723270615073811,3.988206673670019,4.326453633625473,4.578448205936563,2.723270615073811,1.0,0.9422335623384409,-0.8199629865346485,467.0,61.04575163398693,0.0,0.0,298.0,38.954248366013076,0.0,0.0,152.54285138695298,7.5117425412423e-34,0.696219070955303,6.293626951833363e-35,,,,,,,,,,,,-0.024054521763268968,0.0005786200172595804,765.0,0.5064833549407735,,1.0005789550122188,-0.025063558629101878,0.0006281819711544272,765.0,0.48881240020979605,,1.0006285768317877,numeric
8_ny_fir_p,765.0,765.0,0.0,0.0,100.0,3.282983549985792,4.13677005639066,1.6770325624694167,2.812438215582738,0.060633240258880776,51.08257586233336,0.0,4.61512051684126,4.61512051684126,0.0,0.0,0.0,2.712436173045464,4.528901634465484,4.61512051684126,4.61512051684126,4.61512051684126,1.81646546142002,0.25084666807505146,-1.1587750278575646,-0.26332254800961596,125.0,16.33986928104575,0.0,0.0,640.0,83.66013071895425,0.0,0.0,117.7509275914666,2.695944541321106e-26,0.7315107816279811,2.5223204796716744e-33,,,,,,,,,,,,0.008685286881046816,7.543420820608392e-05,765.0,0.8104582717284958,,1.000075439898955,0.007575236558346562,5.738420891491026e-05,765.0,0.8343068815019652,,1.0000573875020513,numeric
BLH_m_av,765.0,765.0,0.0,0.0,100.0,6.449507500123277,6.549902931447537,0.9057256435992866,0.820338941473342,0.03274657975401504,14.043330340835707,2.750479392159446,8.129926043184277,5.37944665102483,3.5038050791299207,4.770047821361058,5.263328636092826,5.944652509803009,7.141538195060144,7.458955154497529,7.612531631196214,7.911780623727961,1.1968856852571346,0.09146173338375255,-0.9365358828042581,1.1638195426607774,0.0,0.0,0.0,0.0,765.0,100.0,20.0,2.6143790849673203,103.6187032967965,3.158526086500919e-23,0.9493344816132587,1.5457893002943236e-15,,,,,,,,,,,,0.258498289449067,0.06682136564809363,765.0,3.8198633886842086e-13,,1.0716061889849215,0.2595940824978191,0.06738908766788453,765.0,3.016118258639305e-13,,1.0722585236530948,numeric
BLH_m_rt,675.0,765.0,90.0,11.76470588235294,88.23529411764706,4.771747479323638,4.883287040554982,1.0484034116894891,1.0991497136421604,0.040353066130549904,21.971058113035205,0.093824118553869,7.217483227796858,7.12365910924299,1.7253493995682712,2.9128227110428506,3.4731930531693953,4.1818212278533196,5.449385823215426,6.0003212209256205,6.337642369937225,6.791240998018542,1.2675645953621064,0.13161014903333934,-0.781826625977132,1.6186671944515578,0.0,0.0,0.0,0.0,675.0,88.23529411764706,17.0,2.5185185185185186,82.44994696130152,1.2480198724301586e-18,0.967456980519522,4.2914507297834e-11,,,,,,,,,,,,0.00897719435061398,8.059001840869555e-05,675.0,0.8159114649147234,,1.0000805965136832,0.009419494114056608,8.872686936474709e-05,675.0,0.8070159291485484,,1.0000887347425207,numeric
CBH_m_av,292.0,765.0,473.0,61.830065359477125,38.169934640522875,8.034620870045396,8.150857281243434,0.9267349679474847,0.8588377008166254,0.05423306189767145,11.534271285936216,3.779220351115564,9.33725565091803,5.558035299802466,4.5209358838533635,6.148273307153521,7.136027775939136,7.822349361417556,8.502028906608334,9.05457294146265,9.148078669342919,9.246885697343522,0.679679545190778,0.04163586104360542,-1.8109842730254402,4.6126601685379995,0.0,0.0,0.0,0.0,292.0,38.169934640522875,25.0,8.561643835616438,119.16924419730378,1.3265615836582584e-26,0.8472508091235091,2.5732865518018084e-16,,,,,,,,,,,,0.1254636076644254,0.015741116848172865,292.0,0.03209682005884556,,1.0159928623633716,0.12152106782675079,0.014767369925753766,292.0,0.03795472763602103,,1.0149887138072569,numeric
CCL_hPa_av,765.0,765.0,0.0,0.0,100.0,6.595269807425412,6.579088773415009,0.19442945459731173,0.0378028128150081,0.007029611766537743,2.948013656369442,6.09253538699539,6.857496972514893,0.7649615855195027,6.15633010763667,6.2577349134521185,6.347430481759826,6.449848856491842,6.821130031253787,6.842417178485031,6.853229430420595,6.857427283305956,0.3712811747619451,0.027976924528512716,-0.17373918924732823,-0.9659005419996372,0.0,0.0,0.0,0.0,765.0,100.0,0.0,0.0,139.64288058361998,4.752627347913874e-31,0.9311569723790194,2.8611989151987187e-18,,,,,,,,,,,,0.002397015203272664,5.745681884720291e-06,765.0,0.9472266792435052,,1.0000057457148979,0.0006193728459832807,3.8362272234142873e-07,765.0,0.9863544494391177,,1.0000003836228695,numeric
CMLG_av,765.0,765.0,0.0,0.0,100.0,0.8901111187875813,0.910736708791196,0.25598300363024096,0.06552729814755995,0.009255085028550483,28.758544661133424,-0.081616581123954,1.465913055958268,1.547529637082222,0.1828020065709266,0.44715507821339084,0.5637713334016997,0.731292227634161,1.057413437146733,1.2254006745343355,1.3086514438736903,1.4123190432197985,0.32612120951257195,0.1823224558035488,-0.35729622005092065,0.2919875036233184,0.0,0.0,1.0,0.130718954248366,764.0,99.86928104575163,11.0,1.4379084967320261,18.00800446618938,0.0001229168763483793,0.9895389361278074,2.8644095209890186e-05,,,,,,,,,,,,0.050436421376649575,0.002543832601282954,765.0,0.163435894154072,,1.0025503201889232,0.054428512768224184,0.002962463002160743,765.0,0.1325629269006666,,1.0029712652655796,numeric
Cape_av,765.0,765.0,0.0,0.0,100.0,1.2611067096928086,0.0,1.9423792750598208,3.7728372481819146,0.07022687089936606,154.02180165491012,0.0,7.018628106620164,7.018628106620164,0.0,0.0,0.0,0.0,2.436241477806689,4.557627521068666,5.337254646264002,6.505922365833647,2.436241477806689,1.0,1.28315408586358,0.2532287442935015,428.0,55.947712418300654,0.0,0.0,337.0,44.052287581699346,19.0,2.4836601307189543,134.6379333544145,5.80422506950877e-30,0.6906398231010565,3.625332080000881e-35,,,,,,,,,,,,-0.1375446262698161,0.01891852421570338,765.0,0.00013550758051330384,,1.0192833364839342,-0.13716891753549193,0.018815311937858587,765.0,0.0001414016816758933,,1.0191761165525515,numeric
Cin_av,18.0,765.0,747.0,97.6470588235294,2.3529411764705883,-4.267436259124515,-5.1239419222163765,2.0034047919153393,4.013630760269344,0.4722070379416536,-46.94633194887714,-6.148221847260336,0.667792985114191,6.8160148323745275,-6.122787450825,-6.021049865083656,-5.940005933640356,-5.528102502504073,-4.020226079380906,-1.3823810056779906,0.17262448376405634,0.5687592848441633,1.5078764231231663,-0.15792045803533603,1.5475801069256516,1.7132940152960066,0.0,0.0,16.0,2.091503267973856,2.0,0.261437908496732,2.0,11.11111111111111,9.474794480272799,0.008761420408086593,0.804934063550244,0.0017847780270659136,,,,,,,,,,,,-0.09268555875066814,0.008590612800923556,18.0,0.7145218606346815,,1.0086650508980892,-0.10549343978484473,0.01112886583763866,18.0,0.6769673712104793,,1.011254111332783,numeric
CircVar,675.0,765.0,90.0,11.76470588235294,88.23529411764706,0.04267764821438782,0.004910834779421,0.09450788344425212,0.008931740033112345,0.0036376101298053825,221.44585608255449,2.3121471e-08,0.648025395719519,0.648025372598048,5.044062864e-07,1.59541829532e-05,6.8941625753e-05,0.000610168486196,0.0296150280835705,0.11794990110529667,0.2752614978394777,0.4516040078549428,0.029004859597374498,0.95962517664442,3.302940594703126,11.454311008759165,0.0,0.0,0.0,0.0,675.0,88.23529411764706,102.0,15.11111111111111,484.48169980468015,6.253679152971352e-106,0.5024398012032253,1.0651430980944809e-39,,,,,,,,,,,,-0.26027577892182885,0.06774348109336473,675.0,6.4947934244185385e-12,,1.0726661382564697,-0.2616111219380479,0.06844037912168417,675.0,5.025101083546426e-12,,1.0734685978092906,numeric
