fid,fname,year,id,type,sdate,edate,inidoy,enddoy,source,zp_link,burn_perio,area,growth_rat,ros_i,ros_p,spdir_i,spdir_p,int_i,int_p,duration_i,duration_p,qc,elev_av,aspect_av,landform,land_use,land_use_d,1_3y_fir_p,3_8y_fir_p,8_ny_fir_p,fuel_model,f_load_av,sW_1m_av,sW_3m_av,sW_7_av,sW_28_av,sW_100_av,sW_289_av,t_2m_C_av,d_2m_C_av,rh_2m_av,VPD_Pa_av,sP_hPa_av,gp_m2s2_av,dfmc_av,HDW_av,Haines_av,FWI_12h_av,DC_12h_av,FFMC_12h_a,wv10_kh_av,wdir10_av,wv100_k_av,wdir100_av,Recirc,CircVar,t_950_av,t_850_av,t_700_av,t_500_av,t_300_av,rh_950_av,rh_850_av,rh_700_av,rh_500_av,rh_300_av,wv_950_av,wv_850_av,wv_700_av,wv_500_av,wv_300_av,wdi_950_av,wdi_850_av,wdi_700_av,wdi_500_av,wdi_300_av,vwv_950_av,vwv_850_av,vwv_700_av,vwv_500_av,vwv_300_av,gp_950_av,gp_850_av,gp_700_av,gp_500_av,gp_300_av,gT_s_9_av,gT_9_8_av,gT_8_7_av,gT_7_5_av,gT_5_3_av,wSv_9_av,wSdir_9_av,wSv_7_av,wSdir_7_av,wSv_5_av,wSdir_5_av,wSv_1_av,wSdir_1_av,CBH_m_av,HigCC_p_av,LowCC_p_av,MidCC_p_av,TotCC_p_av,Cape_av,Cin_av,BLH_m_av,BLH_m_rt,LCL_hPa_av,LCL_m_av,LFC_hPa_av,CCL_hPa_av,EL_m_av,LiftIdx_av,VentIdx_av,CMLG_av,ros_p_lg1,f_start,fire_rank,outlier,PredROS,PredErr,PctErr
48,Agueda_05092019,2019,1743,p,2019-09-05 09:30:00,2019-09-05 12:30:00,248.395833000000010,248.520833000000010,sat,1,1,19.000000000000000,6.333333000000000,298.165383000000020,298.165383000000020,252.391597999999988,252.391597999999988,2690.219759999999951,2690.219759999999951,3.000000000000000,3.000000000000000,3,55.109045410156249,151.791775905965864,21.000000000000000,4,Eucalyptus Forests,0.000000000000000,26.027397260273972,6.849315068493152,223.000000000000000,13.358333333333334,0.168835073985166,0.236286901984525,0.071497847381984,0.133722487562199,0.188539586500507,0.271975699867784,27.311713084698582,11.584733403963497,37.760460103502645,2272.406414092456998,1005.909232822313356,1293.363309633753261,9.198729916173521,41228.548604801653710,4.000000000000000,48.182347654167565,628.397986428095692,92.846314957591247,18.225525774521621,67.800464703599118,26.567602046653487,69.427608036792094,0.000938328527677,0.000923623306967,21.514084320729378,18.121926847692858,9.253286558469272,-11.790998434598293,-41.319359384023805,44.724222968420086,28.608448777720401,3.917418576889502,8.357398271720808,21.429248934679084,32.760990026388541,13.935731364957263,22.685167131445994,21.478589790246339,43.690288964212051,72.923040456935666,101.740390155910205,41.622740630433896,21.211535010578359,305.427551655153252,-0.197871998851931,0.080955198076490,-0.170390712646360,-0.037791357585719,-0.002769935196373,5910.546651543056214,15296.081068398079879,31284.074083457002416,57567.263797433515720,93660.587202996030101,-13.961505204274019,-3.701336667421572,-5.706814041867632,-8.217610586056992,-8.230686759810364,33.281955195938856,0.218917088551492,1.110202928163760,-0.160780928630512,0.354259278643313,-0.149028651773552,78.311071234091614,0.345009710008461,-1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,809.154266059798829,153.267780294882243,798.363523642684981,1.965822888034378,502.888100916760038,662.817314348360469,-1.000000000000000,14.427597378506128,16396.784968003117683,1.156668621974579,,0.000000000000000,1,true,1137.441409054583801,-839.276026054584236,-281.480035546106706
45,Agueda_15102017,2017,1463,p,2017-10-15 20:00:00,2017-10-15 21:00:00,288.833332999999982,288.875000000000000,rep,1,1,45.000000000000000,45.000000000000000,1282.570028000000093,165.888682999999986,352.756775000000005,259.226329000000021,11928.460210999999617,1153.402509000000009,4.000000000000000,1.000000000000000,3,299.583820705307289,74.637324774116848,32.000000000000000,4,Eucalyptus Forests,0.000000000000000,0.000000000000000,61.988304093567251,223.000000000000000,17.063902439024389,0.164751036244552,0.236313604680595,0.077150829325679,0.128517933203399,0.183835711415334,0.274177397503897,24.342386528751604,5.280450384604556,29.251327829076310,2154.461871812320169,973.385508313376477,3902.645261036309421,8.355438790576194,18046.535353645547730,4.000000000000000,73.297774796016739,1084.205369996553372,94.433202296293643,8.410820265992884,178.845362067135909,21.896983111437670,189.299209714446761,0.000885884901482,0.000893219747986,26.236605515984721,18.526976253086104,3.743206404782639,-13.818103207476366,-39.147948298017376,23.753095479041345,32.181976317247219,60.086978828188890,47.324592049857941,78.979078062006295,32.283191772316485,59.087119244507427,61.662265842511729,62.725363534962590,37.525934563669637,194.302157672011276,194.804667964454381,192.881026084394648,194.166964852991612,260.046222322697076,0.222487071347115,0.577482557573675,0.293971740480796,0.023665400598645,0.018767966653993,5803.340083126472564,15274.209529220026525,31157.131906272708875,57043.060595469592954,93139.740519740968011,12.004826302103458,-8.412325698266837,-9.513095876101161,-6.857538938588954,-7.060399355448124,143.304963868013459,1.906718794752487,18.720427150198489,0.089354996555274,9.709541958748634,0.048992914912099,101.341513605151874,1.884416856065362,3853.267569049397935,55.891115471487197,0.000000000000000,6.834447845996000,59.016208209809392,0.000000000000000,1.000000000000000,396.364139354703241,165.881506228800077,733.633295893504055,2.640380428054931,-1.000000000000000,685.327592250207545,-1.000000000000000,13.541476072394044,16142.000213096129301,2.244016288700228,3860.587309999999889,180.000000000000000,1,true,732.692747859037809,-566.804064859037794,-341.677355325702251
45,Agueda_15102017,2017,1473,p,2017-10-15 22:00:00,2017-10-15 23:00:00,288.916667000000018,288.958332999999982,rep,1,2,15.750000000000000,15.750000000000000,47.160820000000001,47.160820000000001,213.324782999999996,213.324782999999996,459.149886999999978,459.149886999999978,1.000000000000000,1.000000000000000,3,330.757107204861029,118.678143873803307,22.000000000000000,4,Eucalyptus Forests,0.000000000000000,0.000000000000000,65.277777777777786,223.000000000000000,16.690000000000001,0.165169705165266,0.238605283031748,0.076401710857108,0.127663919960082,0.184739114185627,0.277460086135706,21.970469541456019,5.651789036204814,34.699932807430095,1723.642231919826600,972.846531661555332,4206.355243173356030,9.322743601075256,16437.407487104981556,4.000000000000000,71.521244201558176,1051.053599776754481,94.297894493654951,9.285531813599169,200.767816793119835,23.428706855681519,207.693671920043954,0.024132501778778,0.024157089437911,23.273247101819976,17.075895413750516,4.106095178114893,-14.025140164981060,-38.641799350248675,34.605086194282627,35.936578422254719,61.357589481274474,48.903277228884797,102.198775055245093,32.325892890266225,58.177303087371484,53.800823067349157,64.243967491105778,37.792791033837773,206.298371201573985,201.529112155984222,194.862217130265378,204.674319727029513,257.016469469146728,0.273400800085094,0.554425431507658,0.182552840578278,-0.003352099006421,0.066484394664178,5868.612432680290112,15265.516101216384413,31141.605319035275897,57023.204442893853411,93178.801472115781507,1.765506371721189,-6.762211137393008,-8.345838334979232,-7.080089988459966,-6.861607089332474,194.125869650586253,-0.442719732395731,16.619479536518998,-0.096980205845436,10.374836494508067,-0.015375748537001,140.990178329384719,-0.267116342648012,4746.794490869874608,92.022794976683414,0.000000000000000,0.658568172570500,92.022794976683414,0.000000000000000,1.000000000000000,586.972130951034273,39.541073267240336,763.004623177364010,2.328639852028322,-1.000000000000000,674.555530382222514,-1.000000000000000,14.519825602956210,16230.650130461855952,1.741667721077288,193.121015000000000,300.000000000000000,3,true,595.992687623147276,-548.833297623147246,-1163.783708023253439
69,Aljezur_19062020,2020,2054,p,2020-06-19 19:30:00,2020-06-20 02:30:00,171.812500000000000,172.104166999999990,"fops,sat",1,2,5.500000000000000,0.785714000000000,37.210577000000001,28.855919000000000,316.498991999999987,291.644387999999992,463.003146000000015,365.900801999999999,7.500000000000000,7.000000000000000,5,69.293771844161185,296.479587658700837,21.000000000000000,7,Shrub,0.000000000000000,0.000000000000000,0.000000000000000,236.000000000000000,23.000000000000000,0.080104588709852,0.084393390408343,0.046897583859292,0.079782149187662,0.083427092375406,0.086662597656221,17.188698904854910,13.015289306640623,76.475253513881142,461.011840820312500,1011.499354771205390,863.295593261718750,17.463646207536971,10062.587332589286234,4.000000000000000,33.232207042541532,594.199806508979236,86.198941124296880,21.575582499184954,348.505386472143130,32.184180392649402,349.378459390679893,0.008474260904152,0.008305875569820,18.599195207868306,14.822222028459821,7.145695277622768,-11.197684151785714,-40.849249703543528,36.877262115478509,17.482516561235702,20.215773991176061,13.343013763427734,20.365080969674246,32.070625552023742,10.067912497491960,7.685866745231268,20.258739654513725,27.201002018658166,7.129670457336090,48.740985745748851,249.048907742004246,282.043987081134730,252.206138113825716,-0.108624530570402,-0.024950875425842,-0.021320053313983,-0.033171633696683,0.016080626611642,6085.006347656250000,15370.869140625000000,31266.817243303572468,57497.474888392855064,93708.583705357144936,4.266550175560017,-4.121226514964317,-4.939709947158614,-7.162930412357738,-8.265028608005085,23.212191173008510,-9.112877607345583,-4.705423184803554,-0.576548418828419,-0.242197149566242,-0.204460148300443,118.465666565960134,0.679385692990760,-1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,360.253844866066629,20.114028523763078,950.238869226028442,0.537999554754810,-1.000000000000000,712.003873876491525,-1.000000000000000,25.116652758030362,16165.387017386299704,0.177745709888744,106.756443000000004,390.000000000000000,1,true,209.962963523942420,-181.107044523942420,-627.625287290078745
136,Alvaiazere_11092024,2024,2802,p,2024-09-11 17:30:00,2024-09-11 18:25:00,255.729166999999990,255.767360999999994,airb,1,2,6.500000000000000,7.090909000000000,257.552339000000018,78.036422000000002,91.898318000000003,258.403848999999980,2507.486648999999943,1022.754017999999974,0.916667000000000,0.916667000000000,4,369.884425951086939,254.855047061820699,21.000000000000000,4,Eucalyptus Forests,0.000000000000000,13.043478260869565,86.956521739130437,223.000000000000000,18.652000000000001,0.190155788913366,0.258675823183824,0.102710801362991,0.152424413263797,0.209662369489666,0.294929809570310,22.481353759765625,14.295806884765623,59.874065399169922,1090.676147460937500,991.123107910156250,2401.187500000000000,12.644989252090454,22191.582031250003638,4.000000000000000,46.330833621942951,902.678866545569804,91.074868890367142,20.346628414219214,325.226326594896022,35.016084517165460,332.766108580650155,-1.000000000000000,-1.000000000000000,18.752441406250000,16.917053222656250,6.967437744140626,-7.476257324218750,-35.253234863281250,69.873252868652344,30.140630722045898,30.224752426147461,66.413345336914062,108.674697875976562,48.796117019047053,33.036431199349110,33.559452202125151,69.587953327324058,109.820936528976475,342.799627671026201,0.640560885375976,354.464135773517569,353.669909350420880,2.300451602004671,-0.155456132808593,-0.209559882198863,-0.129350246349191,-0.006136270932680,0.163930535526521,5830.381835937500000,15181.169921875000000,31102.039062500000000,57447.867187500000000,94503.093750000000000,-10.146412393160761,-2.002675181469881,-6.402402563668236,-5.640137525918750,-7.742509028858222,86.541572570800781,0.740627586841583,3.727724075317383,0.152659326791763,8.699441909790041,0.076663747429848,130.737981146402262,0.483495802041034,8784.296054687478318,72.297973632817104,0.028320312500000,0.000000000000000,72.297973632817104,0.000000000000000,1.000000000000000,567.927009277344382,-999.000000000000000,877.892220763575438,1.192468970780252,-1.000000000000000,738.031304320446793,-1.000000000000000,22.615851865985576,24398.057937622070312,0.624541961502908,939.449889999999982,100.000000000000000,1,true,1488.987850694033114,-1410.951428694033211,-1808.067813121971994
160,Arganil_13082025,2025,3258,p,2025-08-16 19:00:00,2025-08-17 12:15:00,228.791666999999990,229.510416999999990,sat,2,10,327.000000000000000,18.956522000000000,43.652475000000003,46.382123000000000,344.473217999999974,337.866259000000014,786.118201999999997,835.275221999999985,17.250000000000000,17.250000000000000,5,691.700309358081995,128.309087074221537,32.000000000000000,-1,Unknown,0.000000000000000,50.271107668474045,49.031758326878389,234.000000000000000,22.168654434250762,0.208806892563517,0.290656216094136,0.104896614378641,0.157269627347474,0.233940983075060,0.333962736480707,24.809326767658220,15.060788890876969,56.410544144657578,1467.157509986421246,936.230571025553445,7382.457721776199833,12.751600851717971,6667.435447095908785,4.000000000000000,47.316635419391979,777.062793267612165,94.158771403641651,3.369290129272234,290.904401945108646,6.506584385368598,303.834125265988803,0.033032529340939,0.054651472752328,26.192219376718015,24.092552343792772,11.094904961825247,-10.116981771319280,-35.570765229569901,54.169253861746661,27.901999168644224,43.555154854961764,51.287666355599157,22.158300363810046,4.932698638503736,12.305272132400210,38.398518327793951,54.294306034653133,50.909169272411219,299.672720198872412,209.256649245928287,214.353585296460750,222.731850698225230,252.947010648133300,0.023078045528898,0.001343583280292,0.095966555117016,0.009605254305467,-0.013574010854759,5834.277795541664091,15418.989907757440960,31698.834941189976234,58136.176076925476082,94905.727657426003134,-999.000000000000000,-2.291041804549742,-8.363757483860022,-8.283057610460610,-7.094945732197146,7.567778339896466,1.658060457800747,15.748250768776609,-0.658701917562955,10.426632615013675,-0.275456080146352,25.495950461159921,1.486384038641643,4372.248475755513027,8.491614725482801,0.073031492080100,14.025067501962399,19.217675435439094,86.621803613643067,1.000000000000000,162.706208520183310,65.450664876462056,812.567678288576076,1.835027188464325,687.720420270568297,772.504174254828399,7.790026468020346,15.250512138137863,5318.760004283988565,1.672320979944142,578.694131999999968,5150.000000000000000,1,true,222.619617335335533,-176.237494335335498,-379.968580427712368
160,Arganil_13082025,2025,3273,p,2025-08-18 19:00:00,2025-08-19 02:30:00,230.791666999999990,231.104166999999990,sat,3,13,3299.000000000000000,439.866667000000007,769.628734000000009,1087.143493999999919,161.129560999999995,164.149524000000014,9308.623788000000786,13776.670807000000423,15.500000000000000,7.500000000000000,5,613.961815561959497,292.208066575973589,22.000000000000000,-1,Unknown,0.015771626843309,17.569592303446100,71.894960965223561,233.000000000000000,20.598971031985517,0.208083918311342,0.291997623036290,0.109436228306946,0.161571548100127,0.231240773928929,0.336396408605045,20.305160369414885,14.849140984369008,72.033765677963444,715.251317078546549,950.907451516429774,5867.055359186739224,16.134642647267498,7236.305098076519243,4.000000000000000,47.602454202054389,820.688322933396989,93.681804821491170,8.921558044356946,312.195246456121026,16.546423703919682,317.046022970987508,0.002384874126415,0.002220472780304,20.498748966100106,17.176364641139450,8.034556494403891,-9.926579951260711,-37.138497350520552,74.057640325185389,53.291053577570594,11.094969504590878,15.428177952175011,42.044115976897352,11.032770558358713,24.283370232685080,17.514141998675139,44.366236035689028,105.349671864394125,316.906873981575870,7.732961587681928,301.071881095339393,281.165447230658287,314.547899984632465,-0.051143119955617,-0.175946707703845,-0.030827983598036,-0.006618237802120,-0.048574218950359,5600.157414638580121,14972.571488121926450,30902.455654962235712,57265.541521864804963,93838.940086821909063,-999.000000000000000,-3.625204025164421,-5.882592753620152,-7.013667845789452,-7.585005094957656,108.472637569762554,7.050649827030076,3.653676363844104,-0.077705534046366,7.101317164283144,-0.112988154338645,75.478767842414413,0.992233334569915,42.781893920896977,0.396939643976700,2.783601221330300,0.000000000000000,3.180448097680000,1.164343211370329,1.000000000000000,320.614820363944091,83.902768794405134,877.580361843673472,1.200954067792437,778.628697206415950,936.946145900001738,-1.000000000000000,19.945806648970073,5654.073882009026420,0.880339247428493,634.135447999999997,8030.000000000000000,2,true,251.627047727285429,835.516446272714916,76.854293005842578
160,Arganil_13082025,2025,3281,p,2025-08-19 22:30:00,2025-08-20 07:00:00,231.937500000000000,232.291666999999990,sat,3,16,163.000000000000000,19.176470999999999,119.225095999999994,121.877726999999993,121.893559999999994,122.235349999999997,1743.725910999999996,1956.366989000000103,8.500000000000000,8.500000000000000,5,643.336523736600270,282.679624542558997,22.000000000000000,-1,Unknown,0.000000000000000,0.000000000000000,82.673267326732670,227.000000000000000,20.886607142857141,0.213060679731716,0.294604848771112,0.106660070322119,0.165815991693565,0.237184884102109,0.337749911754919,14.541224524876789,13.036853417535058,90.830913075221702,156.326526241613806,929.342358709406540,7832.577995009351980,20.039654417426753,1170.990311899761082,4.000000000000000,43.611162575749390,792.353021477321704,92.255095778504838,7.181808188342276,322.057094278264742,13.732664524131200,333.001298936976241,0.008954791952219,0.008746932466924,15.935009979497586,13.079596184201058,7.785898786433760,-7.212368114784092,-35.800368831832650,87.866145744885927,55.181507191843338,14.098010621340322,44.983023498632235,14.289148866492988,7.247123894114962,26.843908737610921,34.030505864104462,65.294839318433588,73.456867245369423,325.250206115332617,359.852425927762852,318.383450759012021,300.283134190892724,288.984086848465722,0.001584750555313,-0.172947183134679,-0.051898261723272,-0.063285804179063,-0.032558590079070,5626.773271107043911,14835.051605327520519,30693.750154887409735,57203.696649848512607,94139.350329996261280,-999.000000000000000,-3.115671328705040,-3.406401168360086,-5.856693011929710,-7.968572295437162,6.003496169698496,0.243585654219729,11.417370177469815,-0.078451691258003,11.822260886385719,-0.102475495207295,54.504020657908818,0.875729345651711,138.550197127619612,0.000000000000000,55.981122885086101,0.000000000000000,55.981122885086101,0.478279716750314,1.000000000000000,394.615549776664409,37.592787319272674,908.544274185778477,0.910664931596353,949.999999999999773,949.948726300704493,1.010794770953478,26.176510033491493,3690.402782869546172,0.516049381819688,746.968377000000032,9680.000000000000000,1,true,595.161674464604971,-473.283947464604978,-388.326857674827579
160,Arganil_13082025,2025,3289,p,2025-08-22 11:00:00,2025-08-22 17:30:00,234.458333000000010,234.729166999999990,airb,5,20,143.250000000000000,22.038461999999999,728.845760000000041,55.930124999999997,93.748403999999994,99.550724000000002,6954.696289999999863,272.659361999999987,6.500000000000000,6.500000000000000,5,1184.462761324041821,310.962636895864819,32.000000000000000,-1,Unknown,2.048417132216015,0.186219739292365,97.765363128491629,233.000000000000000,18.165422535211267,0.212974616543687,0.294075402715944,0.101059195714209,0.164192661199969,0.238083352766248,0.336985871590155,27.121131650641242,6.598945763191370,27.294879719641479,2615.191364488478939,910.247749660941622,9521.604646092846451,7.815400500765556,17598.707222939843632,4.000000000000000,35.912261566404368,787.520045203727364,92.773630602452371,5.778540806650950,29.294325581703561,7.189793990460014,30.923113323984978,0.138423244927478,0.130800896110635,27.652974912940259,18.705476088437024,6.082872291253820,-8.475580421715232,-37.330770956321501,28.582199399783427,42.641679474392276,43.203819758749560,9.514285252253828,40.253493924095821,5.801127050396382,7.327174204571316,8.505413463184206,6.229356298909216,20.573022342809480,31.292832450310470,47.431601471695501,60.737407350755120,347.761113471169892,282.298011967532887,0.015265721247312,0.103596303122629,-0.001285604164164,-0.044993679393425,0.039546998539441,5600.134237317530278,15087.124537079636866,31007.847445843628520,57372.640932808979414,94147.754859271808527,-999.000000000000000,-9.763021246534183,-8.122423533427932,-5.684949389827934,-8.043048345682381,0.287716256268944,-1.060260551735011,1.515336693468278,-0.477271169722018,-0.099175537432809,0.609081787246528,18.225240340966558,0.303720314071941,-1.000000000000000,0.000000000000000,0.000000000000000,3.826931996414100,3.826931996414100,0.016203333805533,1.000000000000000,2129.399538841978028,266.910429671707732,672.664575566487883,3.324239457017821,917.678882948760588,922.447412004084299,-1.000000000000000,12.322158584227109,3366.745803080529186,1.194839918175842,24.896450000000002,13310.000000000000000,1,true,278.555434999272791,-222.625309999272787,-398.041860266310664
39,Arganil_15102017,2017,1065,p,2017-10-15 23:00:00,2017-10-16 00:00:00,288.958332999999982,289.000000000000000,rep,4,3,674.250000000000000,674.250000000000000,3804.733130999999958,3804.733130999999958,7.254632000000000,7.254632000000000,62675.967148999996425,62675.967148999996425,1.000000000000000,1.000000000000000,3,707.732862903225850,81.887994792469428,22.000000000000000,7,Shrub,0.000000000000000,0.000000000000000,99.188640973630825,233.000000000000000,27.613378016085793,0.190642543601991,0.255308315910683,0.082955659925938,0.152786829769612,0.212153351604940,0.289523010253906,20.202423095703125,4.205841064453125,34.964641571044922,1540.444091796875000,941.334655761718750,7059.061035156250000,9.535019099712372,13915.429199218750000,4.000000000000000,52.496532344432566,939.568934719428967,92.477478152190514,8.968283777794641,175.532111222913443,21.320303717463275,194.236568185964927,0.004667811373267,0.004673574944317,23.311065673828125,16.416397094726562,4.705780029296876,-13.943161010742188,-38.799613952636719,32.800577163696289,36.855314254760742,53.515428543090827,41.058750152587891,97.043167114257812,14.767637771340290,54.398634249634235,43.083612409607426,54.147763036958445,23.741974924127135,192.604813342248519,208.625716752614039,198.986520917943466,204.501440005096697,257.750559090269917,0.016961542219208,0.268239714600927,0.296069636996269,-0.092823434417574,0.064377102185867,5924.964599609375000,15305.600585937500000,31182.679687500000000,57070.597656250000000,93223.101562500000000,-999.000000000000000,-7.523085182335010,-7.535576111834792,-7.282249568462954,-6.928446806617656,-22.612356185913082,-0.833776056766510,14.113215923309326,0.112219408154488,8.942177295684814,0.072727236896753,117.609894240538154,1.966025145785169,4719.761870116972204,86.057678222656406,0.000000000000000,0.880371093750100,86.240051269531307,0.000000000000000,1.000000000000000,522.495175781256194,52.165341796874145,741.114283215999876,2.560477025624138,-1.000000000000000,648.607755737969683,-1.000000000000000,13.700771644488782,7418.546915054321289,2.037981849842882,,630.000000000000000,1,true,973.014110811067212,2831.719020188934337,74.426219203570554
