fname	                id	    ros_p	            PredROS
Agueda_05092019	        1743	298.165383000000020	    1137.441409054583801
Agueda_15102017	        1463	165.888682999999986	    732.692747859037809
Agueda_15102017	        1473	47.160820000000001	    595.992687623147276
Aljezur_19062020	    2054	28.855919000000000	    209.962963523942420
Alvaiazere_11092024	    2802	78.036422000000002	    1488.987850694033114
Arganil_13082025	    3258	46.382123000000000	    222.619617335335533
Arganil_13082025	    3273	1087.143493999999919	251.627047727285429
Arganil_13082025	    3281	121.877726999999993	    595.161674464604971
Arganil_13082025	    3289	55.930124999999997	    278.555434999272791
Arganil_15102017	    1065	3804.733130999999958	973.014110811067212
Arouca_08082016	        120	    63.601531000000001	    277.963330708877322
Arouca_28052024	        2978	1135.816409000000021	266.117690346498023
Baiao_04092019	        1775	86.215986999999998	    434.283214310791323
Cascais_21072024	    2685	81.126622999999995	    431.675092269671097
CasteloBranco_24072024	2694	133.945958999999988	    626.805302547435645
CasteloBranco_29082020	2146	170.950558000000001	    675.665698815323481
CastroVerde_02082024	2698	3350.795814000000064	580.655311269450863
CeloricoBeira_16082024	2701	167.974388000000005	    633.827060730855692
Chaves_30072020	        2074	2500.764393999999811	531.480970667618521
Covilha_06082022	    2274	98.089231999999996	    412.874965641003826
Covilha_06082022	    2290	2221.160054999999829	427.326132189615691
Covilha_11082023	    2619	121.523793999999995	    691.314211057001899
FigueiradaFoz_15102017	482	    53.903137000000001	    212.311358256435625
Fundao_25082023	        2489	159.945376000000010	    617.133081095202101
Gois_17062017	        831	    77.315261000000007	    325.684190399170063
Gois_17062017	        842	    629.498075999999969	    140.163484971369968
Gois_17062017	        885	    38.040289000000001	    157.622774117956595
Gouveia_10082015	    6	    112.490391000000002	    1140.796390643820814
Lousa_15102017	        1338	7123.346880000000056	1534.273947763640308
Melgaco_04092024	    2723	2449.296147999999903	329.119415685001002
Monchique_03082018	    1676	53.820219999999999	    230.262262184101814
Monchique_17072021	    2205	294.145437000000015	    1954.714497801973494
Odemira_05082023	    2521	29.496231000000002	    314.868233337174274
Odemira_05082023	    2537	40.446939000000000	    239.390853156747795
Odemira_18082021	    2169	29.565135999999999	    126.790765580437110
Oleiros_23082017	    533	    1205.347551000000067	182.048063446562139
OliveiraFrades_15102017	1609	529.489026999999965	    2168.857167898837815
OliveiraFrades_15102017	1619	108.241378999999995	    414.767437114659685
Ourem_03082023	        2632	127.477461000000005	    699.957783066758452
Ourem_19082022	        2351	2184.547168999999940	484.785089723577869
ParedesdeCoura_07082016	235	    1072.928055000000086	227.866580385177684
PedrogaoGrande_17062017	1161	4997.541193000000931	1314.332813829204952       Nenhuma razão aparente. É a prog de PG com mais ros, o modelo meteo pode n ter apanhado qq coisa que aconteceu ("downdraft"?) ou n temos vars q captem isso
PedrogaoGrande_17062017	1184	3273.366810999999871	479.359324962138317
PedrogaoGrande_17062017	1188	164.902356999999995	    832.517006617450420
PedrogaoGrande_17062017	1189	2219.783327000000099	482.953594979401942
ProencaaNova_13092020	2127	1461.660055000000057	322.736672628582539
Sabugal_16082025	    3359	20.761334999999999	    189.155420030380668
Satao_13082025	        3143	16.983145000000000	    91.847652817105626
SeverdoVouga_15092024	2903	4211.763506000000234	828.054158697186381
SeverdoVouga_15092024_2	2937	7320.941804000000047	1281.716856712062736
Tabuaco_29082024	    2765	128.312963999999994	    516.313504412884868
TerrasBouro_05092024	2771	102.119478000000001	    510.303072991355066
Tomar_03082019	        1845	2190.889462000000094	397.630359835964214
Trancoso_09082025	    3163	566.217583999999988	    148.516980248908567
Trancoso_09082025	    3177	3141.991517999999814	442.996188180305467
Trancoso_09082025	    3189	20.682680000000001	    129.347928846939993
VilaNovaPaiva_16092024	3073	188.319373000000013	    1315.164096745881352
Vinhais_01092024	    2791	45.978794000000001	    184.266647003027657
Vinhais_01092024	    2792	44.428879999999999	    327.014742290345794
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
