inidoy,enddoy,ros_p,duration_p,elev_av,aspect_av,landform,land_use,1_3y_fir_p,3_8y_fir_p,8_ny_fir_p,fuel_model,f_load_av,sW_1m_av,sW_3m_av,sW_7_av,sW_28_av,sW_100_av,sW_289_av,t_2m_C_av,d_2m_C_av,rh_2m_av,VPD_Pa_av,sP_hPa_av,gp_m2s2_av,dfmc_av,HDW_av,Haines_av,FWI_12h_av,DC_12h_av,FFMC_12h_a,wv10_kh_av,wdir10_av,wv100_k_av,wdir100_av,Recirc,CircVar,t_950_av,t_850_av,t_700_av,t_500_av,t_300_av,rh_950_av,rh_850_av,rh_700_av,rh_500_av,rh_300_av,wv_950_av,wv_850_av,wv_700_av,wv_500_av,wv_300_av,wdi_950_av,wdi_850_av,wdi_700_av,wdi_500_av,wdi_300_av,vwv_950_av,vwv_850_av,vwv_700_av,vwv_500_av,vwv_300_av,gp_950_av,gp_850_av,gp_700_av,gp_500_av,gp_300_av,gT_s_9_av,gT_9_8_av,gT_8_7_av,gT_7_5_av,gT_5_3_av,wSv_9_av,wSdir_9_av,wSv_7_av,wSdir_7_av,wSv_5_av,wSdir_5_av,wSv_1_av,wSdir_1_av,CBH_m_av,HigCC_p_av,LowCC_p_av,MidCC_p_av,TotCC_p_av,Cape_av,Cin_av,BLH_m_av,BLH_m_rt,LCL_hPa_av,LCL_m_av,LFC_hPa_av,CCL_hPa_av,EL_m_av,LiftIdx_av,VentIdx_av,CMLG_av,ros_p_lg1,f_start,ros_p_log,ros_p_linear,PredROS_log,PredROS_linear,PredDiff,Err_pct,Error_p_abs,bad_pred,shap_HDW_av,shap_wv_850_av,shap_duration_p,shap_Cape_av_log,shap_gT_8_7_av,shap_3_8y_fir_p_log,shap_DC_12h_av_log
221.75,221.958333,1199.641053,5.0,222.9939244765703,184.79777708348573,21.0,4.0,0.0,0.0,97.03815261044177,223.0,21.37132796780684,0.113209173685942,0.164375041088263,0.070368334313775,0.088492222465908,0.124583366064079,0.191446928602719,22.641774172632154,5.951865530244091,34.327443567534885,1840.8329568289917,995.1169327697808,1756.3467611159674,9.205699769104003,35308.82416787044,4.0,59.670234819823285,871.1251884440829,93.4494503589492,18.641459678147253,336.1042640267028,33.00779550791043,342.77234286106,0.005051906291816,0.005422774245048,21.059096752525175,13.479162042372684,6.981467059343003,-8.128010946945874,-38.410637160666724,31.036044132123553,39.24130424907451,4.697755666373413,8.317030392403693,26.609503048007,42.33783658221184,35.719053789721926,39.34887130899487,70.72681443295262,103.5672271680907,1.035146852844377,43.699333163032406,336.0878888242434,314.88435773167237,308.8236605486693,-0.117708880222742,-0.171084805654123,-0.071308645111646,-0.174559016613837,-0.073258615622738,5854.192464882144,15162.09013555474,30925.76577521791,57367.098662852506,94013.14873596358,-0.853629380968319,-8.270810097219476,-4.181152438213608,-5.900119982939643,-8.440929418888306,66.74401404786398,-7.718553973343609,7.147653860791718,-0.011200642933117,9.422788463756651,-0.076363810591588,146.5162856109072,0.857798506747427,,0.0,0.0,0.0,0.0,0.0,,665.3827154902544,245.37140390302594,776.9439058213103,2.18712888670115,,603.1260538544769,,23.05262788941155,21987.9876862416,1.521746171210896,,0.0,7.090610903969616,1199.6410530000012,6.107531942528857,448.22862378526344,-215.87577613058346,-62.63643840260751,62.63643840260751,True,2347.704925689893,1.2987409686210236,-0.509403411735281,0.45808686329682774,-0.5452311356872256,-0.17914356134347093,0.07213006789791684
221.958333,222.125,397.497644,4.0,167.29579373781675,164.9451485225195,22.0,4.0,0.0,0.0,100.0,223.0,18.165317460317464,0.102546142363545,0.153008959210861,0.070612845122811,0.077137533128259,0.113061612844464,0.17970886230468,19.094732666015624,4.145758056640625,37.21146011352539,1385.880224609375,1000.0041015625,1489.10009765625,9.946862387657166,20445.94140625,4.0,54.16704235118699,893.2564460609003,94.778059291288,14.300063065317051,3.410734481047655,30.635126345445567,13.064020256066726,0.029998854094703,0.029587868542008,19.614434814453126,13.32939453125,6.479718017578125,-8.722906494140625,-37.92203063964844,30.528368377685545,28.89521369934082,2.167975330352783,9.456869506835938,20.19377555847168,46.508071189800795,27.576410645585035,34.73478923228496,65.87957535776216,105.0660236378362,38.460625428735796,51.901707513755696,23.56827069218764,329.82991470951026,321.6416958035017,-0.154164808764282,-0.11008213758142,-0.107085397122239,-0.093320868880826,-0.101622325099157,5990.32001953125,15273.65,31017.891796875,57406.346875,94020.875,5.385403865125781,-6.857892135419431,-4.407646362427418,-5.936492884624204,-8.138915834648312,79.60349884033204,-5.05518159866333,7.13323745727539,-0.329201344400644,9.209802627563477,0.578302980959415,170.6189137168012,-12.640710615187029,,0.0,0.0,0.0,0.0,0.0,,354.45206787109083,35.974963378905024,799.2803373392042,1.955262559172775,,580.92594674112,,25.889088605219264,23552.555084228516,1.600810491301684,1199.641053,300.0,5.987701586042153,397.49764400000004,6.027146869489241,413.5306305735157,-250.57376934233122,4.0334796483763915,4.0334796483763915,False,-1072.3395270539777,0.3269194738918726,-0.057938048880197664,0.45808686329682774,-0.5076799608460794,-0.17914356134347093,0.0777942650070135
222.5,222.604167,1092.753836,2.5,211.10384204094103,248.3827815207087,21.0,4.0,0.0,0.0,96.0025583626479,223.0,20.70333333333334,0.105624948102769,0.15833222359369,0.064708616110409,0.079440806273892,0.117239966191004,0.186219670943384,29.123012827643805,2.045430783939825,17.64721873553685,3323.780475852147,1002.4527103587353,1412.7643539541484,6.322425845061886,35868.993312263054,4.0,51.60944490844401,884.5506165359416,95.00814903167252,10.70916810016864,57.1868247767261,13.634893127327496,55.37618632977211,0.011760233671633,0.01171718961902,21.836584940085235,12.955596072475686,7.711337169373754,-7.840263774145401,-37.98094920121878,23.19944885474543,31.906097103784536,4.047502239275682,8.63178587392659,18.419346758071296,14.871882632882151,15.898397149560346,23.491173680293965,32.483219385988036,55.82581762247514,58.576751844447756,58.778113319058434,13.878275248365469,346.600907126952,352.66820534758614,-0.046819657263124,-0.041184068608989,-0.06677477198989,-0.114810534317712,-0.143178291668647,6191.863752398404,15483.807524524089,31359.654369739746,57791.778340971905,94538.31200248352,-16.773679438098927,-9.690449219982932,-3.374588366581674,-6.072765151474424,-8.40136507749674,9.960925190932093,0.174663320145147,4.37128500928103,-0.245497344529299,3.978252541965041,0.93826499888129,29.788740993926996,0.145678509218037,,0.0,0.0,0.0,0.0,0.0,,1552.8354388022744,112.06740912182545,672.741767179427,3.322813966718045,,518.6998502699648,,17.904506366215568,7464.756537848313,1.769978527915771,,1080.0,6.997370944865674,1092.7538359999999,6.167338902493488,475.9152978569364,-188.18910205891052,-56.44807804116129,56.44807804116129,True,2476.6034311551516,-1.0668471851991277,0.6192599954024274,0.45808686329682774,-0.67895405377242,-0.17914356134347093,0.07558303064293576
222.604167,222.916667,584.937417,7.5,184.75268999612254,152.57513597095388,21.0,4.0,0.0,0.0,98.7111892208553,223.0,18.67046367851623,0.100860889192976,0.154541452044566,0.057269391622938,0.074644246393193,0.112745472273333,0.182943866251757,27.82747896994018,4.653969771882273,25.121243662229627,2935.721821071632,1002.8234546832516,1248.249108389704,7.453498580874232,32829.72108182379,4.0,51.774346856110085,889.345165792715,95.02514246711416,10.685128857788964,349.4754251886143,17.49542056376014,353.5311334660989,0.066588737265084,0.072572360948506,24.35026564274693,15.675167709660046,9.3830427004795,-7.262874953487934,-38.23555535723104,20.91331822072633,28.091324737458027,5.338400761391609,8.432433677311375,29.524148113457144,17.910817492688142,19.165960374261186,15.321934925189774,31.767572023660748,37.91099486726272,18.72897393524306,59.03041239301973,14.764513405719981,335.2270733256161,314.90986909565333,-0.00676294693732,-0.045281919924274,-0.061571872676022,-0.101531485772108,0.003282652217618,6049.525182018529,15434.985168478717,31374.357973286984,57907.55941022925,94678.27029097409,-6.35628945556195,-9.465792295445684,-4.048871775666711,-6.500086326189612,-8.633273988744234,16.467237672102303,-7.92803917189368,1.293061678346748,-1.215208997776664,3.690725827132926,0.384909691687265,75.0464843591595,0.318766164528001,,0.0,0.0,0.0,0.0,0.0,,924.1675913706363,262.02854575978904,716.4081966321064,2.860403040027508,,531.0378933726286,,19.628183394417135,9233.734741471297,1.936235448656871,1092.753836,1230.0,6.373212986945487,584.9374169999999,5.659279170903608,285.94173204202906,-378.16266787381784,-51.115841843636225,51.115841843636225,True,1777.2474381890172,-0.6768647039654652,-1.6380668188729894,0.45808686329682774,-0.5671623830910723,-0.17914356134347093,0.07680349596063303
241.722222,241.784722,708.321556,1.5,170.9304413377193,276.00266080358494,21.0,4.0,0.0,0.0,0.0,233.0,21.97142857142857,0.08331668088585,0.132984196744261,0.047072642892602,0.05589761018753,0.094837635755537,0.159263305664055,24.842681884765625,12.390533447265625,45.88059616088867,1695.4847412109375,993.0706176757812,1676.94189453125,10.533731579780579,45055.33203125,4.0,65.62872214888952,1170.8256889614715,93.74710124526251,26.57371594436746,329.7234760697478,39.33348338450253,330.04011629302704,,,19.9788818359375,17.411285400390625,6.620758056640625,-9.923370361328125,-38.78602600097656,61.320926666259766,34.400272369384766,24.274627685546875,20.403488159179688,43.05305862426758,48.39810693433296,37.702967774217356,42.68871726244723,46.249029476395684,36.6471974157328,335.8687453280085,359.4970546958958,334.30067895928056,314.6798251202335,321.41767040849527,-0.049123744308755,-0.119604326178435,-0.003083881008698,-0.045564464243499,-0.043311712953154,5566.52490234375,14926.8115234375,30831.865234375,57152.27734375,93721.3359375,-14.895051109656965,-2.801620770725424,-6.943514558741921,-6.46033851325299,-8.045129156782476,55.61614227294922,0.34805616736412,5.217533588409424,0.035595059394836,3.402652025222778,-0.044696182012558,127.33614893370866,0.29682287688628,,0.0,0.0,0.0,0.0,0.0,,790.2421093750037,,826.247786981225,1.686957113829137,,722.9663500193648,,18.23163968013057,24199.052810668945,0.896715004454133,,0.0,6.564308958272129,708.3215559999999,7.129227747136153,1246.9128904023,582.8084904864531,76.0376879455438,76.0376879455438,True,4590.438767192761,1.5355203803793147,1.0707253582575107,0.45808686329682774,-0.08725000739613203,-0.17914356134347093,0.13889568840055155
248.395833,248.520833,298.165383,3.0,55.10904541015625,151.79177590596586,21.0,4.0,0.0,26.027397260273972,6.849315068493151,223.0,13.358333333333334,0.168835073985166,0.236286901984525,0.071497847381984,0.133722487562199,0.188539586500507,0.271975699867784,27.311713084698578,11.584733403963497,37.76046010350265,2272.406414092457,1005.9092328223134,1293.3633096337533,9.198729916173521,41228.548604801654,4.0,48.182347654167565,628.3979864280957,92.84631495759125,18.22552577452162,67.80046470359912,26.567602046653487,69.4276080367921,0.000938328527677,0.000923623306967,21.514084320729378,18.12192684769286,9.253286558469272,-11.790998434598293,-41.319359384023805,44.72422296842009,28.6084487777204,3.917418576889502,8.357398271720808,21.429248934679084,32.76099002638854,13.935731364957265,22.685167131445994,21.47858979024634,43.690288964212044,72.92304045693567,101.7403901559102,41.622740630433896,21.21153501057836,305.42755165515325,-0.197871998851931,0.08095519807649,-0.17039071264636,-0.037791357585719,-0.002769935196373,5910.546651543056,15296.08106839808,31284.074083457002,57567.263797433516,93660.58720299603,-13.961505204274019,-3.701336667421572,-5.706814041867631,-8.217610586056992,-8.230686759810363,33.281955195938856,0.218917088551492,1.11020292816376,-0.160780928630512,0.354259278643313,-0.149028651773552,78.31107123409161,0.345009710008461,,0.0,0.0,0.0,0.0,0.0,,809.1542660597988,153.26778029488224,798.3635236426849,1.965822888034378,502.8881009167601,662.8173143483605,,14.427597378506128,16396.784968003118,1.156668621974579,,0.0,5.700996540877319,298.1653829999999,6.649769169984407,771.6059643035913,107.50156438774445,158.78455659072657,158.78455659072657,True,3709.8714075905823,-1.301090632036181,0.3935273139748857,0.45808686329682774,-0.2922866656485781,0.39151915031768925,-0.0015936148703922875
248.520833,248.708333,300.228952,4.5,78.21045169733503,153.57943405645625,21.0,4.0,0.0,0.0,63.24324324324324,223.0,13.728913043478263,0.161429441319402,0.228436768561803,0.066327152997253,0.127555587887761,0.180555371046062,0.26389038085937,31.282183837890624,10.072222900390624,27.1321533203125,3322.766015625,1009.2648559570313,835.1695556640625,7.377490258216858,45222.67109375,4.0,47.731246420213594,639.0895702678289,92.82830170602318,13.620112581307309,55.73673674226751,18.67423257921914,58.73701518339817,0.004901718383906,0.005143938755751,25.756201171875,17.24310302734375,9.401416015625,-11.87371826171875,-42.321875,31.78312759399414,42.102942657470706,5.926012134552002,6.688494300842285,17.760028457641603,21.58610101764453,16.23497329343194,17.50356627658592,12.130366248615896,26.252621239973333,67.28180920763526,90.13599848404698,9.591814563919115,352.9774425153039,358.20988523061385,-0.102713961512327,-0.019974921201978,-0.061743156730203,0.068818919216387,-0.096141785226306,5843.7134765625,15276.2033203125,31275.0546875,57559.9328125,93600.6078125,-9.857449958622627,-9.28902698833311,-5.045987670148855,-8.307755227363483,-8.487069125022932,16.497625160217286,0.510493397712708,1.215911269187927,0.167254459857941,-0.244479711353779,0.497991010546684,52.659860991890525,0.836172416186148,,0.0,0.0,0.0,0.0,0.0,,1334.3976416015696,122.59615071614287,740.3663225412162,2.568745686651542,507.35045265955523,649.3588388989263,,11.843671602735862,10878.711891174316,1.234348045049972,298.165383,180.0,5.7078706134842525,300.2289519999999,6.091286958211015,440.98986776706136,-223.11453214878554,46.88452423704344,46.88452423704344,True,4628.944556521083,-1.0266769449666318,-0.28367073030773937,0.45808686329682774,-0.4018472497136362,-0.17914356134347093,0.0022136925419551376
248.708333,248.75,914.672569,1.0,105.90013631184895,42.42789198855833,22.0,4.0,0.0,0.0,23.655913978494624,223.0,15.912173913043478,0.161083026088771,0.228258824320086,0.066004498302934,0.127049531787631,0.180253207683559,0.263801574707026,30.834625244140625,8.662017822265625,25.250659942626953,3322.13330078125,1008.7793579101562,835.1695556640625,7.170126080513,35949.90234375,4.0,47.731246420213594,639.0895702678289,92.82830170602318,10.545971283638318,33.70699514709992,17.899272653930886,30.604807089230633,0.023174451673481,0.023257881264254,26.297958374023438,17.090469360351562,9.349334716796875,-11.909759521484375,-42.081642150878906,28.50982666015625,45.53990364074707,5.567964553833008,6.643046140670776,20.029645919799805,21.45121521482791,21.58317594895969,18.42899266071198,16.569461054604744,42.380895246849114,51.87294571984637,82.65060319262619,350.00803854640367,329.5986637621641,55.57497763608393,-0.058448655055183,-0.075522451750152,-0.045515131510733,-0.028107037121278,-0.123096244735895,5794.055908203125,15242.30908203125,31246.0166015625,57527.908203125,93602.9296875,-6.20770916924524,-10.046708318254453,-4.981283989779836,-8.301491731367104,-8.410060934355426,21.66207981109619,1.058764576911926,2.342541515827179,1.943480670452118,0.905637115240097,0.970933645963669,71.6244531580969,1.320534291536054,,0.0,0.0,0.0,0.0,0.0,,1063.472662353507,679.5125854492345,729.2157489251224,2.688178334307274,,633.5215845256098,,12.68289404246137,10727.293491363525,1.624705671953767,300.228952,450.0,6.819658843347415,914.6725689999989,6.420654297782664,613.4049864594244,-50.69941345642246,-32.93720537284145,32.93720537284145,False,2495.221117155363,-0.3883709051702235,1.2964580396850525,0.45808686329682774,-0.412574686322969,-0.17914356134347093,0.0022136925419551376
221.166667,221.520833,599.456399,8.5,144.49122872499254,265.7064156452433,22.0,4.0,0.826699326393141,11.420698101653398,52.816901408450704,223.0,16.44403341288783,0.179569938868944,0.266435759725682,0.07240389264292,0.126278953916495,0.205532063974272,0.312396511501733,29.008480495876736,11.19193861219618,33.48947185940213,2742.7130669487847,1002.2125447591146,1479.0550537109375,8.45674106809828,31947.479383680555,4.0,40.76445511534814,504.3799069198681,95.33094468675206,12.633310044755916,78.21267744007503,22.15151559809631,77.72426834585713,0.005181490206753,0.004922912691319,28.854366726345486,24.11166720920139,9.642825656467014,-9.196265326605904,-35.926778157552086,24.634694629245335,18.517175674438477,22.581592347886826,15.024156994289822,23.568431430392796,30.392385112024098,8.930553724548899,23.646420465834343,13.436574692164767,48.44998339503407,81.82992006977167,72.04466492908625,46.01594217734964,325.9678544835083,263.24422306223295,-0.223403113215553,0.122252642896962,0.119104876885961,-0.022806945028323,0.005308409693532,6084.884494357639,15709.964409722223,31903.675130208332,58281.69704861111,95221.29340277778,-1.087241124589125,-5.174974264875188,-9.310445056953725,-7.356501470360683,-7.450819177448794,47.57989162868924,0.247436854781376,4.082681523429023,-0.188383953438865,0.282558112508721,0.802101194858551,113.57815387891407,0.054913756700807,,0.0,0.0,0.0,0.0,0.0,,430.56458028157954,87.26554771423437,772.2393784072102,2.234558442018526,549.1322936599443,634.7281743550886,,15.31935258062942,15249.286943011813,1.803993861736947,,0.0,6.397690031057151,599.456399,6.030622592478011,414.9739310190181,-249.1304688968288,-30.77496016202872,30.77496016202872,False,1574.2379766930612,-1.8984567611645349,-2.0895321817280728,0.45808686329682774,0.3051712078029531,0.25694142550840166,-0.051196426437522244
221.520833,222.104167,384.649786,14.0,154.1467644019633,256.256700792522,22.0,4.0,4.284591194968553,0.0,56.014150943396224,223.0,16.81220611082341,0.179906775213484,0.2683508760773,0.073562449723396,0.125658939518279,0.206068092269455,0.315146696640165,30.387156956932206,16.140128524064988,46.35737523151568,2644.8503893746324,997.4119562914217,1754.6577752189826,10.668860168752124,23287.587425172493,4.0,43.21989297627133,502.9704818137333,95.06070685577693,7.179589622224802,320.54275863678384,11.309270113399021,336.3497593228903,0.07207684689276,0.081958007688564,30.975967551251948,23.515229365787444,9.493859209475152,-10.668307877819064,-36.09577931644556,27.539430248677537,27.001510370836534,34.24868161310018,24.486622549796557,28.76176443692839,15.15506396579124,11.58947417614209,18.117915967426722,19.939504109366673,59.54271819568944,347.08915755794095,4.813544824648488,357.8191806914736,304.84783198696414,270.97806642687175,-0.009076167019494,-0.00625257364968,0.01715901029033,-0.031672548201162,-0.02840987225077,5993.343886186048,15629.830890686577,31813.891161583713,58088.33768664225,94907.82193901083,2.722655086724532,-8.14074937009706,-9.022505083614334,-7.873151202285036,-7.087611563127786,25.265160808315823,0.135351633715521,4.644081449229195,-0.015299182267322,2.31206167360024,0.324299790495561,51.28232469396239,0.704749733200523,,0.0364662375494,0.0,3.3821381996752,3.4186044372246,111.19661930889417,,556.922478478754,222.3316566800632,815.0278168500021,1.832260628653447,601.1023353930844,707.9946317142651,7.724833322649252,13.035777780802885,13447.511987912512,1.275338150174693,,510.0,5.9549296674725545,384.64978599999984,4.548205487721521,93.46274157631488,-570.641658339532,-75.70186050322802,75.70186050322802,True,-418.45859025662674,-1.5811155733103417,-4.572591677431031,-0.6012473955689506,0.257432689782419,-0.17914356134347093,-0.051827666289566664
