fid,fname,year,id,type,sdate,edate,inidoy,enddoy,source,zp_link,burn_perio,area,growth_rat,ros_i,ros_p,int_i,int_p,duration_i,duration_p,qc,elev_av,aspect_sin,aspect_cos,landform,land_use,1_3y_fir_p,3_8y_fir_p,8_ny_fir_p,fuel_model,f_load_av,sW_1m_av,sW_3m_av,sW_7_av,sW_28_av,sW_100_av,sW_289_av,t_2m_C_av,d_2m_C_av,rh_2m_av,VPD_Pa_av,sP_hPa_av,gp_m2s2_av,dfmc_av,HDW_av,Haines_av,FWI_12h_av,DC_12h_av,FFMC_12h_a,wv10_kh_av,wsin10_av,wcos10_av,wv100_k_av,wsin100_av,wcos100_av,Recirc,CircVar,t_950_av,t_850_av,t_700_av,t_500_av,t_300_av,rh_950_av,rh_850_av,rh_700_av,rh_500_av,rh_300_av,wv_950_av,wv_850_av,wv_700_av,wv_500_av,wv_300_av,wsi_950_av,wco_950_av,wsi_850_av,wco_850_av,wsi_700_av,wco_700_av,wsi_500_av,wco_500_av,wsi_300_av,wco_300_av,vwv_950_av,vwv_850_av,vwv_700_av,vwv_500_av,vwv_300_av,gp_950_av,gp_850_av,gp_700_av,gp_500_av,gp_300_av,gT_s_9_av,gT_9_8_av,gT_8_7_av,gT_7_5_av,gT_5_3_av,wSv_9_av,wSsin_9_av,wScos_9_av,wSv_7_av,wSsin_7_av,wScos_7_av,wSv_5_av,wSsin_5_av,wScos_5_av,wSv_1_av,wSsin_1_av,wScos_1_av,CBH_m_av,HigCC_p_av,LowCC_p_av,MidCC_p_av,TotCC_p_av,Cape_av,Cin_av,BLH_m_av,BLH_m_rt,LCL_hPa_av,LFC_hPa_av,CCL_hPa_av,EL_m_av,LiftIdx_av,VentIdx_av,CMLG_av,ros_p_lg1,f_start,ros_p_log,ros_p_linear,PredROS_log,PredROS_linear,PredDiff,Err_pct,Error_p_abs,bad_pred,shap_duration_p,shap_HDW_av,shap_Recirc,shap_f_start,shap_3_8y_fir_p,shap_8_ny_fir_p,shap_f_load_av,shap_wSv_1_av,shap_gT_8_7_av,shap_wsin100_av,shap_wco_500_av,shap_rh_2m_av,shap_BLH_m_rt,shap_DC_12h_av
29,Abrantes_09082017,2017,334,p,2017-08-09,2017-08-09 23:00:00,221.75,221.958333,fops,1,1,501.25,100.25,1199.641053,1199.641053,14302.974677,14302.974677,5.0,5.0,3,222.9939244765703,-0.083639182124461,-0.996496104966573,21.0,4.0,0.0,0.0,97.03815261044177,223.0,21.37132796780684,0.113209173685942,0.164375041088263,0.070368334313775,0.088492222465908,0.124583366064079,0.191446928602719,22.641774172632154,5.951865530244091,34.327443567534885,1840.8329568289917,995.1169327697808,1756.3467611159674,9.205699769104003,35308.82416787044,4.0,59.670234819823285,871.1251884440829,93.4494503589492,18.641459678147253,-0.405073545685204,0.914284103868167,33.00779550791043,-0.296169136212813,0.955135510152856,0.005051906291816,0.005422774245048,21.059096752525175,13.479162042372684,6.981467059343003,-8.128010946945874,-38.410637160666724,31.036044132123553,39.24130424907451,4.697755666373413,8.317030392403693,26.609503048007,42.33783658221184,35.719053789721926,39.34887130899487,70.72681443295262,103.5672271680907,0.018065737990944,0.999836801238503,0.690873996776463,0.722975186696,-0.405334832630717,0.91416829602444,-0.708532520675944,0.705678161164559,-0.779079139638757,0.6269255890293,-0.117708880222742,-0.171084805654123,-0.071308645111646,-0.174559016613837,-0.073258615622738,5854.192464882144,15162.09013555474,30925.76577521791,57367.098662852506,94013.14873596358,-0.853629380968319,-8.270810097219476,-4.181152438213608,-5.900119982939643,-8.440929418888306,66.74401404786398,-0.134307086419939,0.990939759287812,7.147653860791718,-0.000195488096278,0.999999980892202,9.422788463756651,-0.001332799529605,0.999999111822312,146.5162856109072,0.014970848978145,0.999887930560657,,0.0,0.0,0.0,0.0,0.0,,665.3827154902544,245.37140390302594,776.9439058213103,,603.1260538544769,,23.05262788941155,21987.9876862416,1.521746171210896,,0.0,7.0906109039696155,1199.641053,6.4179158210754395,611.7247544034173,-587.9162985965828,-49.00768418406091,49.00768418406091,True,-0.067192055,0.16848955,-0.019483909,0.21278088,-0.07071096,0.04393541,0.106429845,0.19896382,-0.1027026,-0.010531804,-0.06131481,0.06898962,-0.022890583,0.06812206
29,Abrantes_09082017,2017,335,p,2017-08-09,2017-08-10 03:00:00,221.958333,222.125,"fops,sat",1,2,127.5,31.875,388.237868,397.497644,3779.81918,4429.139637,4.0,4.0,3,167.29579373781675,0.259743644708011,-0.965677606157354,22.0,4.0,0.0,0.0,100.0,223.0,18.165317460317464,0.102546142363545,0.153008959210861,0.070612845122811,0.077137533128259,0.113061612844464,0.17970886230468,19.094732666015624,4.145758056640625,37.21146011352539,1385.880224609375,1000.0041015625,1489.10009765625,9.946862387657166,20445.94140625,4.0,54.16704235118699,893.2564460609003,94.778059291288,14.300063065317051,0.059493394799967,0.998228699234387,30.635126345445567,0.226039639974147,0.974118104318136,0.029998854094703,0.029587868542008,19.614434814453126,13.32939453125,6.479718017578125,-8.722906494140625,-37.92203063964844,30.528368377685545,28.89521369934082,2.167975330352783,9.456869506835938,20.19377555847168,46.508071189800795,27.576410645585035,34.73478923228496,65.87957535776216,105.0660236378362,0.62197666890702,0.783035773981832,0.786953410352786,0.617012422836136,0.399841507026074,0.916584294682774,-0.502568631420634,0.864537315974268,-0.620577299352562,0.784145277055394,-0.154164808764282,-0.11008213758142,-0.107085397122239,-0.093320868880826,-0.101622325099157,5990.32001953125,15273.65,31017.891796875,57406.346875,94020.875,5.385403865125781,-6.857892135419431,-4.407646362427418,-5.936492884624204,-8.138915834648312,79.60349884033204,-0.088115137872831,0.996110296341551,7.13323745727539,-0.005745615748839,0.999983493813606,9.209802627563477,0.01009311971784,0.9999490631699,170.6189137168012,-0.218836608581831,0.975761517351654,,0.0,0.0,0.0,0.0,0.0,,354.45206787109083,35.974963378905024,799.2803373392042,,580.92594674112,,25.889088605219264,23552.555084228516,1.600810491301684,1199.641053,300.0,5.987701586042153,397.497644,5.625948429107666,276.5353823736328,-120.9622616263672,-30.43093800736268,30.43093800736268,False,-0.0731991,-0.08557001,-0.09028864,0.060908392,-0.095650226,-0.28332397,0.0016084071,0.15381643,-0.094654895,-0.101277076,-0.08985216,0.054258868,0.015441041,0.08054535
29,Abrantes_09082017,2017,338,p,2017-08-10,2017-08-10 14:30:00,222.5,222.604167,sat,2,4,819.5,327.8,1092.753836,1092.753836,12211.261107,12211.261107,2.5,2.5,3,211.10384204094103,-0.929665815425231,-0.368403951702124,21.0,4.0,0.0,0.0,96.0025583626479,223.0,20.70333333333334,0.105624948102769,0.15833222359369,0.064708616110409,0.079440806273892,0.117239966191004,0.186219670943384,29.123012827643805,2.045430783939825,17.64721873553685,3323.780475852147,1002.4527103587353,1412.7643539541484,6.322425845061886,35868.993312263054,4.0,51.60944490844401,884.5506165359416,95.00814903167252,10.70916810016864,0.840442014914616,0.541901485111695,13.634893127327496,0.822900286279347,0.568185813657265,0.011760233671633,0.01171718961902,21.836584940085235,12.955596072475686,7.711337169373754,-7.840263774145401,-37.98094920121878,23.19944885474543,31.906097103784536,4.047502239275682,8.63178587392659,18.419346758071296,14.871882632882151,15.898397149560346,23.491173680293965,32.483219385988036,55.82581762247514,0.853339323785479,0.521355923032761,0.855166314214559,0.518353716136661,0.239859960158395,0.970807498690041,-0.231732502134947,0.972779547201871,-0.127615012431242,0.991823779006217,-0.046819657263124,-0.041184068608989,-0.06677477198989,-0.114810534317712,-0.143178291668647,6191.863752398404,15483.807524524089,31359.654369739746,57791.778340971905,94538.31200248352,-16.773679438098927,-9.690449219982932,-3.374588366581674,-6.072765151474424,-8.40136507749674,9.960925190932093,0.003048445297435,0.999995353479839,4.37128500928103,-0.004284723856391,0.999990820528606,3.978252541965041,0.016375081586988,0.999865919362701,29.788740993926996,0.002542566895778,0.999996767671566,,0.0,0.0,0.0,0.0,0.0,,1552.8354388022744,112.06740912182545,672.741767179427,,518.6998502699648,,17.904506366215568,7464.756537848313,1.769978527915771,,1080.0,6.997370944865674,1092.753836,6.240842819213867,512.290940154073,-580.462895845927,-53.119273227234586,53.119273227234586,True,0.15494122,0.15065618,-0.03712541,-0.037947703,-0.069401115,0.04107511,0.09357506,-0.1784983,-0.10677153,-0.103001855,-0.06484789,0.17563994,-0.059712864,0.076155886
29,Abrantes_09082017,2017,340,p,2017-08-10,2017-08-10 22:00:00,222.604167,222.916667,sat,2,5,1290.25,172.033333,580.177102,584.937417,5245.719691,5133.28732,7.5,7.5,3,184.75268999612254,0.460585017068789,-0.887615593628088,21.0,4.0,0.0,0.0,98.7111892208553,223.0,18.67046367851623,0.100860889192976,0.154541452044566,0.057269391622938,0.074644246393193,0.112745472273333,0.182943866251757,27.82747896994018,4.653969771882273,25.121243662229627,2935.721821071632,1002.8234546832516,1248.249108389704,7.453498580874232,32829.72108182379,4.0,51.774346856110085,889.345165792715,95.02514246711416,10.685128857788964,-0.182657237927912,0.983176654234907,17.49542056376014,-0.112663308525753,0.993633221521921,0.066588737265084,0.072572360948506,24.35026564274693,15.675167709660046,9.3830427004795,-7.262874953487934,-38.23555535723104,20.91331822072633,28.091324737458027,5.338400761391609,8.432433677311375,29.524148113457144,17.910817492688142,19.165960374261186,15.321934925189774,31.767572023660748,37.91099486726272,0.321091944873872,0.947048025676161,0.85744056028976,0.514583021066554,0.254846899265247,0.966981415506466,-0.419023093827647,0.90797557612477,-0.708218242100204,0.705993570478157,-0.00676294693732,-0.045281919924274,-0.061571872676022,-0.101531485772108,0.003282652217618,6049.525182018529,15434.985168478717,31374.357973286984,57907.55941022925,94678.27029097409,-6.35628945556195,-9.465792295445684,-4.048871775666711,-6.500086326189612,-8.633273988744234,16.467237672102303,-0.13792926098899,0.990442082588897,1.293061678346748,-0.021207808012615,0.999775089147204,3.690725827132926,0.006717890911951,0.999977434716252,75.0464843591595,0.005563490413981,0.999984523667448,,0.0,0.0,0.0,0.0,0.0,,924.1675913706363,262.02854575978904,716.4081966321064,,531.0378933726286,,19.628183394417135,9233.734741471297,1.936235448656871,1092.753836,1230.0,6.373212986945487,584.937417,5.858447074890137,349.17991837023817,-235.7574986297618,-40.30473889649665,40.30473889649665,True,-0.30272648,0.2001568,-0.116758734,-0.04929526,-0.07481122,-0.067252,0.038147524,0.110293046,-0.09715117,-0.05329479,-0.067483746,0.19204347,-0.015709598,0.074263886
113,Abrantes_29082023,2023,2669,p,2023-08-29,2023-08-29 18:50:00,241.722222,241.784722,airb,1,1,14.0,9.333333,708.321556,708.321556,7956.320253,7956.320253,1.5,1.5,5,170.9304413377193,-0.994517040016672,0.104574648536235,21.0,4.0,0.0,0.0,0.0,233.0,21.97142857142857,0.08331668088585,0.132984196744261,0.047072642892602,0.05589761018753,0.094837635755537,0.159263305664055,24.842681884765625,12.390533447265625,45.88059616088867,1695.4847412109375,993.0706176757812,1676.94189453125,10.533731579780579,45055.33203125,4.0,65.62872214888952,1170.8256889614715,93.74710124526251,26.57371594436746,-0.504173818346506,0.863602200607377,39.33348338450253,-0.499393519936486,0.866375272180275,,,19.9788818359375,17.411285400390625,6.620758056640625,-9.923370361328125,-38.78602600097656,61.320926666259766,34.400272369384766,24.274627685546875,20.403488159179688,43.05305862426758,48.39810693433296,37.702967774217356,42.68871726244723,46.249029476395684,36.6471974157328,-0.408828347847786,0.912611298415733,-0.008777938783557,0.999961473153197,-0.433648406726873,0.901082160151473,-0.711047107793791,0.703144373865058,-0.623638540808519,0.781712843963959,-0.049123744308755,-0.119604326178435,-0.003083881008698,-0.045564464243499,-0.043311712953154,5566.52490234375,14926.8115234375,30831.865234375,57152.27734375,93721.3359375,-14.895051109656965,-2.801620770725424,-6.943514558741921,-6.46033851325299,-8.045129156782476,55.61614227294922,0.006074688740554,0.999981548908131,5.217533588409424,0.000621250943921,0.999999807023614,3.402652025222778,-0.000780095460069,0.99999969572549,127.33614893370866,0.005180513324435,0.999986581050814,,0.0,0.0,0.0,0.0,0.0,,790.2421093750037,,826.247786981225,,722.9663500193648,,18.23163968013057,24199.052810668945,0.896715004454133,,0.0,6.564308958272129,708.321556,7.2213826179504395,1367.3796997272002,659.0581437272002,93.04504968746147,93.04504968746147,True,0.22793743,0.16061436,0.060764514,0.13046488,-0.061992325,-0.1542138,0.07482609,0.1838268,0.018037267,0.012897348,-0.07157326,0.021543225,0.107857116,-0.07859132
48,Agueda_05092019,2019,1743,p,2019-09-05,2019-09-05 12:30:00,248.395833,248.520833,sat,1,1,19.0,6.333333,298.165383,298.165383,2690.21976,2690.21976,3.0,3.0,3,55.10904541015625,0.472677260111532,-0.88123561422213,21.0,4.0,0.0,26.027397260273972,6.849315068493151,223.0,13.358333333333334,0.168835073985166,0.236286901984525,0.071497847381984,0.133722487562199,0.188539586500507,0.271975699867784,27.311713084698578,11.584733403963497,37.76046010350265,2272.406414092457,1005.9092328223134,1293.3633096337533,9.198729916173521,41228.548604801654,4.0,48.182347654167565,628.3979864280957,92.84631495759125,18.22552577452162,0.925873649297994,0.377833277432806,26.567602046653487,0.936228962365117,0.35139056622046,0.000938328527677,0.000923623306967,21.514084320729378,18.12192684769286,9.253286558469272,-11.790998434598293,-41.319359384023805,44.72422296842009,28.6084487777204,3.917418576889502,8.357398271720808,21.429248934679084,32.76099002638854,13.935731364957265,22.685167131445994,21.47858979024634,43.690288964212044,0.955911180489953,0.293655946669405,0.979079614204538,-0.203477539421658,0.664222960571612,0.747534520038696,0.361812261828895,0.932250978648056,-0.814849144241427,0.579673073489716,-0.197871998851931,0.08095519807649,-0.17039071264636,-0.037791357585719,-0.002769935196373,5910.546651543056,15296.08106839808,31284.074083457002,57567.263797433516,93660.58720299603,-13.961505204274019,-3.701336667421572,-5.706814041867631,-8.217610586056992,-8.230686759810363,33.281955195938856,0.003820814687602,0.999992700660921,1.11020292816376,-0.002806152896164,0.999996062745211,0.354259278643313,-0.002601037720405,0.999996617295667,78.31107123409161,0.006021519001672,0.999981870490117,,0.0,0.0,0.0,0.0,0.0,,809.1542660597988,153.26778029488224,798.3635236426849,502.8881009167601,662.8173143483605,,14.427597378506128,16396.784968003118,1.156668621974579,,0.0,5.700996540877319,298.165383,6.6453633308410645,768.209474392006,470.04409139200595,157.64542706555775,157.64542706555775,True,0.088347,0.10478674,0.04894045,0.26681793,0.09097492,-0.06866954,-0.1175791,0.07389155,-0.136095,-0.14753816,-0.096752696,0.023950838,-0.10116205,0.04381808
48,Agueda_05092019,2019,1744,p,2019-09-05,2019-09-05 17:00:00,248.520833,248.708333,fops,1,1,46.5,10.333333,287.880391,300.228952,2746.288964,2922.979039,7.5,4.5,3,78.21045169733503,0.444956660384814,-0.895552103665216,21.0,4.0,0.0,0.0,63.24324324324324,223.0,13.728913043478263,0.161429441319402,0.228436768561803,0.066327152997253,0.127555587887761,0.180555371046062,0.26389038085937,31.282183837890624,10.072222900390624,27.1321533203125,3322.766015625,1009.2648559570313,835.1695556640625,7.377490258216858,45222.67109375,4.0,47.731246420213594,639.0895702678289,92.82830170602318,13.620112581307309,0.826459444666087,0.562996257822575,18.67423257921914,0.854794280276271,0.51896699163528,0.004901718383906,0.005143938755751,25.756201171875,17.24310302734375,9.401416015625,-11.87371826171875,-42.321875,31.78312759399414,42.102942657470706,5.926012134552002,6.688494300842285,17.760028457641603,21.58610101764453,16.23497329343194,17.50356627658592,12.130366248615896,26.252621239973333,0.922415521954169,0.386198918768577,0.999997182962227,-0.00237361909548,0.166627882849901,0.986019852060271,-0.122260101731168,0.992498094469045,-0.03123831392301,0.999511964782437,-0.102713961512327,-0.019974921201978,-0.061743156730203,0.068818919216387,-0.096141785226306,5843.7134765625,15276.2033203125,31275.0546875,57559.9328125,93600.6078125,-9.857449958622627,-9.28902698833311,-5.045987670148855,-8.307755227363483,-8.487069125022932,16.497625160217286,0.008909672717231,0.999960308078312,1.215911269187927,0.002919136867314,0.999995739310898,-0.244479711353779,0.008691473347528,0.999962228432179,52.659860991890525,0.014593443736276,0.999893510029901,,0.0,0.0,0.0,0.0,0.0,,1334.3976416015696,122.59615071614287,740.3663225412162,507.35045265955523,649.3588388989263,,11.843671602735862,10878.711891174316,1.234348045049972,298.165383,180.0,5.7078706134842525,300.228952,5.826948642730713,338.32170603439164,38.092754034391646,12.687901609965865,12.687901609965865,False,-0.0842573,0.15289487,-0.03069837,0.04577072,-0.09821305,0.10776351,-0.1295824,-0.03965684,-0.1318707,-0.084709466,-0.09351826,0.10876625,-0.044541776,0.020721694
48,Agueda_05092019,2019,1745,p,2019-09-05,2019-09-05 18:00:00,248.708333,248.75,"fops,sat",1,1,23.25,23.25,348.085076,914.672569,3402.912341,8905.099683,8.5,1.0,3,105.90013631184895,0.67466179292612,0.738126997992699,22.0,4.0,0.0,0.0,23.655913978494624,223.0,15.912173913043478,0.161083026088771,0.228258824320086,0.066004498302934,0.127049531787631,0.180253207683559,0.263801574707026,30.834625244140625,8.662017822265625,25.250659942626953,3322.13330078125,1008.7793579101562,835.1695556640625,7.170126080513,35949.90234375,4.0,47.731246420213594,639.0895702678289,92.82830170602318,10.545971283638318,0.554945995217456,0.831886375890426,17.899272653930886,0.509113629814082,0.860699315636727,0.023174451673481,0.023257881264254,26.297958374023438,17.090469360351562,9.349334716796875,-11.909759521484375,-42.081642150878906,28.50982666015625,45.53990364074707,5.567964553833008,6.643046140670776,20.029645919799805,21.45121521482791,21.58317594895969,18.42899266071198,16.569461054604744,42.380895246849114,0.786643578379177,0.617407386248985,0.991784526884532,0.127919710101397,-0.173510008315141,0.984832106003089,-0.50605387931156,0.862501867379846,0.824866685721032,0.565327295279115,-0.058448655055183,-0.075522451750152,-0.045515131510733,-0.028107037121278,-0.123096244735895,5794.055908203125,15242.30908203125,31246.0166015625,57527.908203125,93602.9296875,-6.20770916924524,-10.046708318254453,-4.981283989779836,-8.301491731367104,-8.410060934355426,21.66207981109619,0.018477876219582,0.99982926947075,2.342541515827179,0.033913632408456,0.999424767322115,0.905637115240097,0.016945177898599,0.999856420165408,71.6244531580969,0.023045630858451,0.999734414181254,,0.0,0.0,0.0,0.0,0.0,,1063.472662353507,679.5125854492345,729.2157489251224,,633.5215845256098,,12.68289404246137,10727.293491363525,1.624705671953767,300.228952,450.0,6.8196588433474155,914.672569,6.102219581604004,445.84848686863694,-468.824082131363,-51.25594644692608,51.25594644692608,True,0.26186562,0.1476675,-0.08526635,-0.02740322,-0.10038474,0.056727555,-0.1353704,0.050581902,-0.17225629,-0.07184324,-0.08094524,0.16826619,0.03181914,0.013075221
4,Agueda_08082016,2016,25,p,2016-08-08,2016-08-08 12:30:00,221.166667,221.520833,sat,1,1,837.25,98.5,599.456399,599.456399,5491.303691,5491.303691,8.5,8.5,1,144.49122872499254,-0.997193522951582,-0.07486706741561,22.0,4.0,0.826699326393141,11.420698101653398,52.816901408450704,223.0,16.44403341288783,0.179569938868944,0.266435759725682,0.07240389264292,0.126278953916495,0.205532063974272,0.312396511501733,29.008480495876736,11.19193861219618,33.48947185940213,2742.7130669487847,1002.2125447591146,1479.0550537109375,8.45674106809828,31947.479383680555,4.0,40.76445511534814,504.3799069198681,95.33094468675206,12.633310044755916,0.978912612224181,0.204279459634173,22.15151559809631,0.977135718480368,0.212616527273528,0.005181490206753,0.004922912691319,28.854366726345486,24.11166720920139,9.642825656467014,-9.196265326605904,-35.926778157552086,24.634694629245335,18.517175674438477,22.581592347886826,15.024156994289822,23.568431430392796,30.392385112024098,8.930553724548899,23.646420465834343,13.436574692164767,48.44998339503407,0.989850577311212,0.142112049442193,0.951297121513486,0.308275504379046,0.71953305665638,0.694458191958829,-0.559657942907222,0.828723709652896,-0.993056601012817,-0.117637524561131,-0.223403113215553,0.122252642896962,0.119104876885961,-0.022806945028323,0.005308409693532,6084.884494357639,15709.964409722223,31903.675130208332,58281.69704861111,95221.29340277778,-1.087241124589125,-5.174974264875188,-9.310445056953725,-7.356501470360683,-7.450819177448794,47.57989162868924,0.004318574382972,0.999990674914171,4.082681523429023,-0.003287914321469,0.999994594795099,0.282558112508721,0.013998849523541,0.999902011305116,113.57815387891407,0.000958425712336,0.999999540709972,,0.0,0.0,0.0,0.0,0.0,,430.56458028157954,87.26554771423437,772.2393784072102,549.1322936599443,634.7281743550886,,15.31935258062942,15249.286943011813,1.803993861736947,,0.0,6.397690031057151,599.456399,6.062224864959717,428.32957537945464,-171.1268236205454,-28.54700090048507,28.54700090048507,False,-0.3875309,0.16465704,-0.043552246,0.2847956,0.15103155,0.12125697,-0.101036854,0.1429167,0.048892647,-0.14214538,-0.09259649,0.0942209,-0.06606399,-0.20963803
4,Agueda_08082016,2016,26,p,2016-08-08,2016-08-09 02:30:00,221.520833,222.104167,sat,2,2,1929.25,137.803571,384.649786,384.649786,3465.266704,3465.266704,14.0,14.0,1,154.1467644019633,-0.971369860747551,-0.237572291379453,22.0,4.0,4.284591194968553,0.0,56.014150943396224,223.0,16.81220611082341,0.179906775213484,0.2683508760773,0.073562449723396,0.125658939518279,0.206068092269455,0.315146696640165,30.387156956932206,16.140128524064988,46.35737523151568,2644.8503893746324,997.4119562914217,1754.6577752189826,10.668860168752124,23287.587425172493,4.0,43.21989297627133,502.9704818137333,95.06070685577693,7.179589622224802,-0.635502195985931,0.772099060287641,11.309270113399021,-0.401152405160504,0.916011325166858,0.07207684689276,0.081958007688564,30.975967551251948,23.515229365787444,9.493859209475152,-10.668307877819064,-36.09577931644556,27.539430248677537,27.001510370836534,34.24868161310018,24.486622549796557,28.76176443692839,15.15506396579124,11.58947417614209,18.117915967426722,19.939504109366673,59.54271819568944,-0.223434572226848,0.974718929709383,0.083913413684301,0.996473049813113,-0.038053287474401,0.999275711359178,-0.820672476714728,0.571398885160721,-0.999854302903715,0.017069650404312,-0.009076167019494,-0.00625257364968,0.01715901029033,-0.031672548201162,-0.02840987225077,5993.343886186048,15629.830890686577,31813.891161583713,58088.33768664225,94907.82193901083,2.722655086724532,-8.14074937009706,-9.022505083614334,-7.873151202285036,-7.087611563127786,25.265160808315823,0.002362329459081,0.99999720969587,4.644081449229195,-0.000267021100254,0.999999964349865,2.31206167360024,0.005660068885887,0.99998398168181,51.28232469396239,0.012299893089372,0.999924353453795,,0.0364662375494,0.0,3.3821381996752,3.4186044372246,111.19661930889417,,556.922478478754,222.3316566800632,815.0278168500021,601.1023353930844,707.9946317142651,7.724833322649252,13.035777780802885,13447.511987912512,1.275338150174693,,510.0,5.9549296674725545,384.649786,5.012424468994141,149.26861646394323,-235.38116953605677,-61.19363070074782,61.19363070074782,True,-0.4661329,-0.07693254,-0.10015407,-0.041447774,-0.08832635,0.091883436,-0.11470293,-0.03333733,0.06309346,0.030898614,-0.07129491,-0.010268975,-0.020442981,-0.20157275
